time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001592,0.1695,-0.2221,-0.1733,0.329
0.011508,0.0923,-0.2223,-0.5041,0.559
0.022492,-0.1200,-0.1980,-0.3688,0.436
0.032917,-0.2997,-0.1631,-0.4873,0.595
0.042241,-0.3185,-0.0403,-0.4278,0.535
0.052067,-0.2200,-0.0492,-0.3704,0.434
0.061905,-0.0692,-0.2299,-0.3668,0.438
0.071674,0.1108,-0.4199,-0.1973,0.477
0.081637,0.2341,-0.5781,-0.0541,0.626
0.091544,0.1949,-0.8021,-0.1636,0.841
0.105932,-0.2258,-0.9722,-0.3052,1.044
0.111308,-1.0287,-0.6322,-0.3996,1.272
0.122964,-1.6846,-0.4286,-0.5112,1.812
0.131357,-1.7243,-0.6114,-0.3215,1.858
0.142128,-1.1927,-0.8562,-0.2550,1.490
0.151407,-0.8286,-0.5422,-0.0423,0.991
0.161650,-0.2967,-0.6307,-0.5843,0.910
0.171876,-0.0014,-0.6745,0.5673,0.881
0.189466,-0.1397,-0.2542,2.7288,2.744
0.192508,-0.3739,0.1547,3.2299,3.255
0.202727,-0.8658,0.5062,4.6562,4.763
0.211539,-1.1979,0.6063,4.7728,4.958
0.222018,-0.7153,0.2984,2.6394,2.751
0.231883,-0.3233,-0.1541,0.6098,0.707
0.241637,-0.1285,-0.6030,-0.6585,0.902
0.252273,-0.1125,-1.1010,-1.2395,1.662
0.262109,-0.9270,-0.7593,-1.5272,1.941
0.272027,-1.2907,0.1871,-1.2779,1.826
0.289905,-0.6202,0.6107,-1.0305,1.349
0.292871,0.1584,0.8630,-0.4717,0.996
0.303025,1.1641,1.3620,0.7258,1.933
0.314892,2.2168,1.6838,1.8598,3.348
0.323049,3.2282,0.4666,3.3351,4.665
0.330659,6.3868,-5.8758,6.3342,10.744
0.341151,4.3463,-4.0882,2.3588,6.416
0.351190,-0.0058,3.3261,-3.1928,4.611
0.361846,-1.2588,4.5720,-4.9262,6.838
0.371167,-1.6770,2.8403,-4.5217,5.597
0.383143,-2.0417,0.5302,-1.7458,2.738
0.390822,-1.8978,-1.0297,1.9782,2.928
0.401069,-2.3206,0.1460,3.1852,3.944
0.410931,-2.4274,1.0742,3.6994,4.553
0.421148,-1.2177,0.4656,4.8754,5.047
0.431644,0.5253,-0.5358,4.8319,4.890
