time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002778,-0.4094,0.2878,0.9589,1.082
0.005494,-0.1827,-0.0615,0.8769,0.898
0.015007,-0.5567,0.0906,0.6886,0.890
0.028370,-0.7733,0.1772,0.2354,0.828
0.035136,-0.6881,0.1129,-0.5316,0.877
0.046375,-0.6323,0.2377,-1.1404,1.325
0.055150,-0.5735,0.4811,-1.5554,1.726
0.070241,-0.3958,0.6051,-1.6955,1.843
0.076121,-0.1860,0.6300,-1.6184,1.747
0.086700,-0.0757,0.6293,-1.4012,1.538
0.095552,-0.1552,0.5861,-1.0959,1.252
0.106149,-0.3525,0.5691,-0.8455,1.078
0.114900,-0.5276,0.5101,-0.6471,0.978
0.126128,-0.6171,0.4107,-0.6348,0.976
0.135392,-0.6619,0.2603,-0.7915,1.064
0.146311,-0.8206,0.2103,-1.0246,1.329
0.155650,-1.0849,0.1810,-1.2117,1.636
0.166699,-1.2323,0.1380,-1.2092,1.732
0.186644,-1.1293,0.0602,-1.1861,1.639
0.187247,-0.8084,-0.0424,-1.1568,1.412
0.195916,-0.4556,-0.0949,-1.0672,1.164
0.205980,-0.1106,-0.1918,-1.0121,1.036
0.215350,0.2236,-0.3147,-1.1546,1.217
0.226480,0.5040,-0.3523,-1.3791,1.510
0.235936,0.5471,-0.3627,-1.7582,1.877
0.247451,0.5445,-0.3768,-1.9064,2.018
0.255733,0.4504,-0.3608,-2.3357,2.406
0.266631,0.5349,-0.4306,-1.7335,1.865
0.275270,1.3707,-1.2496,0.0155,1.855
0.290919,1.9188,-1.7025,-0.3608,2.590
0.294605,1.3902,-1.5917,-0.9603,2.321
0.306037,0.5598,-1.2783,-0.7873,1.602
0.315069,-0.5266,-0.5586,-1.2248,1.446
0.326592,-1.1133,-0.0678,-2.5633,2.795
0.335247,-1.2721,0.0607,-2.6187,2.912
0.346168,-1.3678,0.1062,-0.4182,1.434
0.355622,-1.5097,0.2162,2.9045,3.281
0.366399,-1.2173,0.3489,6.6973,6.816
0.375390,0.3157,0.4145,9.5522,9.566
0.387231,1.7104,0.3822,5.2261,5.512
0.394678,2.6291,0.2846,0.6380,2.720
0.406246,2.9081,0.2276,-1.1152,3.123
0.415423,2.1690,-0.0932,-2.1061,3.025
0.426463,0.8417,-0.3439,-1.1673,1.480
0.434599,-0.1208,-0.6098,0.6785,0.920
0.448333,0.0681,-0.9200,3.1062,3.240
0.455314,0.5683,-1.8855,5.0527,5.423
0.466479,-0.4310,-3.4397,9.1388,9.774
0.475682,-4.1482,-8.5028,9.5084,13.413
0.487774,-5.0289,-11.0463,7.7296,14.389
0.495605,-6.8058,-5.3815,7.9379,11.760
0.506523,-7.4053,0.1998,7.4274,10.490
0.515993,-4.9311,0.0837,6.3693,8.055
0.526899,-3.3805,0.1682,4.6113,5.720
0.534377,-2.6242,1.8618,1.2421,3.449
0.545593,-1.1112,0.7540,-3.2713,3.536
0.555758,-0.4826,0.1749,-3.9231,3.957
0.566144,-0.0471,1.0053,-2.1761,2.398
0.574865,-0.5965,1.8479,-1.6661,2.559
0.587445,-1.1559,1.7380,-1.8883,2.815
0.594409,-2.3158,1.6008,-2.6432,3.862
0.606842,-2.5019,1.9167,-0.4062,3.178
0.615820,-1.2815,1.1891,2.1373,2.761
0.627882,1.7847,0.1066,2.1797,2.819
0.634254,4.1733,-0.0211,0.2495,4.181
0.646866,5.0726,-0.0489,-2.1721,5.518
0.655571,4.7393,-0.6810,-4.6258,6.658
0.666346,4.0627,-1.2213,-6.5824,7.831
0.675198,2.7261,-1.2275,-7.5051,8.079
