time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001819,-0.0789,0.0155,0.1560,0.175
0.008338,-0.1278,-0.0310,0.1709,0.216
0.017533,-0.1112,-0.0605,0.1322,0.183
0.028865,-0.0281,-0.0497,0.0405,0.070
0.036534,0.0432,-0.0427,0.0043,0.061
0.049230,0.1080,-0.0743,-0.0453,0.139
0.056567,0.1558,-0.1059,-0.0914,0.209
0.068537,0.1101,-0.0641,-0.0504,0.137
0.077740,0.0510,-0.0027,0.0482,0.070
0.094114,-0.0038,-0.0131,0.0990,0.100
0.096310,-0.0275,-0.0623,0.0489,0.084
0.109614,-0.0217,-0.1056,-0.0281,0.111
0.116492,0.0545,-0.1702,-0.0102,0.179
0.131232,0.1059,-0.2487,0.0139,0.271
0.136188,0.0914,-0.2372,0.0856,0.268
0.148072,0.0920,-0.1464,0.1069,0.203
0.156231,0.0995,-0.0905,0.0713,0.152
0.168087,0.1130,-0.0741,-0.0022,0.135
0.176257,0.0916,-0.0282,-0.0656,0.116
0.190091,0.0428,0.0082,0.0027,0.044
0.196992,0.0033,-0.0113,0.0492,0.051
0.207555,-0.0428,-0.0461,0.0377,0.073
0.215886,-0.0445,-0.0609,0.0399,0.085
0.228508,-0.0471,-0.0675,0.0199,0.085
0.235847,-0.0657,-0.0347,-0.0079,0.075
0.247969,-0.0655,0.0145,0.0456,0.081
0.256648,-0.0590,0.0015,0.0273,0.065
0.268092,-0.0438,0.0250,0.0332,0.060
0.276175,-0.0150,0.0373,0.0898,0.098
0.288528,-0.0203,-0.0094,0.1228,0.125
0.296882,-0.0358,-0.0338,0.1514,0.159
0.308781,-0.0518,-0.0357,0.2475,0.255
0.317472,-0.0818,-0.0152,0.3200,0.331
0.332885,-0.0655,-0.0226,0.2946,0.303
0.336098,0.0003,-0.0179,0.1662,0.167
0.348611,0.0843,-0.0118,0.0445,0.096
0.356494,0.1286,0.0214,-0.0012,0.130
0.368169,0.1179,0.0576,0.0864,0.157
0.377041,0.1033,-0.0072,0.3846,0.398
0.388367,-0.0206,-0.1207,0.7196,0.730
0.396540,-0.0587,-0.2112,0.6921,0.726
0.408167,0.0900,-0.1998,0.2806,0.356
0.417671,0.2136,-0.0561,-0.0219,0.222
0.433124,0.2783,0.0678,-0.0216,0.287
0.436444,0.1601,0.2659,0.2999,0.432
0.449043,0.0794,0.5435,0.5692,0.791
0.457190,0.1125,0.6295,1.1561,1.321
0.468310,-0.1451,0.3911,2.2861,2.324
0.476283,-0.6082,0.2328,3.2241,3.289
0.488240,0.2091,0.0408,2.4790,2.488
0.496720,0.3311,0.0281,2.2224,2.247
0.509268,0.1992,-0.0006,2.0754,2.085
0.516442,-0.3251,-0.3278,1.6006,1.666
0.533772,-0.3366,-0.2028,1.6214,1.668
0.536587,-0.1965,0.5675,2.0257,2.113
0.548629,-0.1131,0.8963,1.5551,1.798
0.559365,-0.0494,0.5494,1.1735,1.297
0.567634,0.1744,0.1709,0.9846,1.014
0.576127,0.3316,-0.1702,1.4182,1.466
0.587405,0.1780,-0.3534,2.0187,2.057
0.595259,0.1737,-0.7735,2.1561,2.297
0.608227,0.4550,-1.2213,1.9447,2.341
0.615979,0.5426,-1.3810,1.4140,2.050
0.638462,0.5260,-1.3087,0.6052,1.535
0.639316,0.5843,-0.9547,-0.0113,1.119
0.648623,0.2420,-0.5755,0.1348,0.639
0.661165,-0.0768,-0.3163,0.6845,0.758
0.668143,-0.2009,-0.2993,1.0727,1.132
