time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004280,-0.2866,0.4265,-1.7648,1.838
0.021216,-0.4986,0.7723,-2.3542,2.527
0.039677,-0.7281,0.5906,-2.6775,2.837
0.057996,-0.7860,1.0425,-1.9664,2.360
0.075611,-0.8103,0.9756,-0.9277,1.571
0.094387,-0.5993,1.1169,-0.1507,1.276
0.114361,-0.5219,0.8799,-2.0386,2.281
0.132231,-0.5381,0.4616,-3.2538,3.330
0.149086,-0.5815,0.9377,-2.9717,3.170
0.167760,-0.7280,1.7949,-1.9621,2.757
0.185773,-0.5186,1.5238,-1.1048,1.952
0.204060,-1.9502,0.6030,0.5702,2.119
0.222963,-3.4264,0.0775,0.3539,3.446
0.241158,-2.3924,0.8717,-0.8934,2.698
0.259725,-1.1663,1.1026,-1.1705,1.986
0.278831,-0.1055,1.4872,-1.0375,1.816
0.296296,1.0826,2.6731,-0.6489,2.956
0.314031,-0.4567,2.9629,-0.8669,3.121
0.332593,-0.2371,1.6613,-1.8943,2.531
0.350626,-0.8254,0.4233,0.4772,1.043
0.368419,0.1038,-0.2617,3.1854,3.198
0.386795,1.0246,-0.3196,5.3377,5.445
0.405568,0.8304,-0.9360,3.7749,3.977
0.424628,0.6815,-1.8207,1.8776,2.703
0.442167,1.1957,-2.8404,1.4908,3.423
0.460998,2.9407,-2.9558,1.5860,4.461
0.479862,5.3797,-3.6457,2.4401,6.942
0.496876,3.2551,-2.8955,3.8113,5.788
0.517780,2.5118,-3.4017,2.4692,4.897
0.533984,0.9702,-3.0301,1.1453,3.381
0.552053,-0.0961,-2.4556,0.9953,2.651
0.570093,-0.2705,-1.9013,0.6290,2.021
0.588312,-0.9035,-1.2374,-1.3548,2.045
0.607517,-1.8638,-0.2670,-3.6896,4.142
0.624819,-2.1355,0.6659,-4.8450,5.336
0.643859,-1.1036,0.8819,-3.3189,3.607
0.661388,-0.1887,-0.6047,-0.7242,0.962
0.679443,-0.0299,-1.4409,0.4900,1.522
0.698359,0.0551,-0.7076,0.3085,0.774
0.716749,-0.3610,-0.2343,-0.3825,0.576
0.734504,0.3195,0.3397,-1.5035,1.574
0.752655,1.3746,0.8300,-2.4007,2.888
0.771205,1.7344,0.7526,-2.6416,3.248
0.789338,0.6917,-0.6614,0.1035,0.963
0.808180,-0.3433,-1.3901,1.8048,2.304
0.826337,-0.2051,-0.8784,1.4909,1.743
0.854607,0.8427,0.2587,-0.1744,0.899
0.863188,1.2012,0.3358,-1.0410,1.625
0.880890,0.4192,0.3258,-0.3045,0.612
0.899617,0.0640,-0.3055,0.0788,0.322
0.917793,0.0663,-1.2588,-1.0287,1.627
0.936228,0.0195,-0.8068,-0.3768,0.891
0.954627,-0.5703,0.3537,-1.5239,1.665
0.973421,-1.2202,0.2140,1.5027,1.947
0.991237,-0.9056,-1.1298,4.2380,4.479
1.009686,-1.8876,-0.8823,1.7196,2.702
1.027750,-1.0882,1.7054,-1.0620,2.285
1.046742,-1.1593,3.8013,-1.2183,4.157
1.063795,0.0685,2.3781,0.1621,2.385
1.082145,0.5759,0.7331,0.4426,1.032
1.100753,-2.9250,-1.2751,1.0250,3.351
1.119727,2.8119,-0.1118,-0.3613,2.837
1.140013,0.0932,1.8246,-2.0783,2.767
1.155837,0.4420,0.5054,-1.4985,1.642
1.174036,1.9515,-1.1834,0.2678,2.298
1.192707,0.6564,-0.2542,1.4042,1.571
1.216665,-1.5730,-1.1995,0.6850,2.093
1.237304,-1.5618,-0.9978,1.4198,2.335
1.247317,-1.4629,-0.3372,1.4446,2.083
1.266316,-1.6898,-0.3719,1.7389,2.453
1.283377,-1.8704,0.3156,1.8840,2.673
1.301995,-1.1680,0.5909,0.7251,1.496
1.320327,-0.3032,0.3740,0.0831,0.489
1.339447,0.1654,-0.9494,-0.0207,0.964
1.356840,0.4683,0.1992,-0.7047,0.869
1.375707,-0.0495,0.6267,-0.5980,0.868
1.394147,-0.0731,0.1963,-0.4247,0.474
1.413331,0.2914,0.0429,0.4743,0.558
1.432781,-0.2399,-1.1923,1.9029,2.258
1.457235,-1.3971,-1.7056,2.7190,3.501
1.466688,-1.7676,-0.4574,1.7030,2.497
1.485454,-2.4113,2.2566,-1.2626,3.536
1.503472,-2.6775,3.7070,-0.4762,4.598
1.522310,-2.6288,3.0738,-0.0362,4.045
1.539876,-2.0522,1.7443,-0.3064,2.711
1.557755,0.0422,-0.2501,-0.2768,0.375
1.576623,1.2912,-2.9917,0.0708,3.259
1.595534,0.9386,-3.4819,1.2892,3.830
1.613591,-0.0783,-1.6456,1.4880,2.220
1.633485,0.3402,0.1688,-4.6466,4.662
1.649457,4.1204,0.7102,-4.0769,5.840
1.667839,2.6847,-2.7409,-2.8873,4.802
1.686538,0.9423,-2.2234,-1.5084,2.847
1.704580,0.4485,-0.8381,-1.5127,1.787
1.723391,-0.6088,-0.5986,-1.2047,1.477
1.741009,-0.7005,-0.0296,-1.4176,1.581
1.759826,1.0182,0.9563,-2.0353,2.468
1.777616,0.9751,0.0538,-1.1032,1.473
1.796599,1.0137,-0.8924,-0.1331,1.357
1.815056,0.6164,-1.3522,-0.1754,1.496
1.833427,0.7741,-0.8145,-0.3348,1.172
1.855459,0.6489,-0.0885,-0.2789,0.712
1.869487,0.5847,-0.0171,-0.3914,0.704
1.887420,0.7600,-0.4651,-0.1325,0.901
1.905821,0.4517,-0.4482,-0.0025,0.636
1.924538,-0.8599,-0.0607,-0.6179,1.061
1.942427,-0.2440,-0.0654,-0.3071,0.398
1.960687,0.3276,-0.0629,-0.3531,0.486
1.979172,-0.1929,0.2715,-1.0060,1.060
1.997444,-0.4744,0.4976,-1.6859,1.821
2.015323,-0.4347,0.5670,-0.3436,0.793
2.033474,-0.9549,0.1384,0.6438,1.160
2.051928,-0.5991,0.1906,0.2445,0.675
2.071792,-0.0489,0.4297,-0.0205,0.433
2.088891,0.3918,0.2744,-0.0620,0.482
2.107163,0.5914,-0.0449,0.2248,0.634
2.125392,0.4685,-0.0543,0.2388,0.529
2.143361,0.4481,-0.0391,-0.0456,0.452
2.162535,0.1320,0.0689,-0.1731,0.228
2.181212,-0.1451,0.0158,0.0507,0.154
2.198634,0.0170,-0.0580,0.0484,0.077
2.216976,0.1669,-0.0492,0.5697,0.596
2.235437,0.1592,0.0259,-0.4047,0.436
2.253697,0.1938,0.1361,-0.3002,0.382
2.271516,0.1533,0.1295,0.0169,0.201
2.290102,0.0891,-0.0773,-0.0982,0.153
2.308570,0.2900,-0.1888,-0.1778,0.389
2.327209,0.3173,-0.4437,0.4974,0.738
2.344583,-0.2484,-0.3350,0.4348,0.602
2.363531,-0.0944,-0.1631,0.0220,0.190
2.381768,0.3001,-0.1393,-0.0397,0.333
2.399820,0.4728,-0.1946,-0.2986,0.592
2.417805,0.4083,-0.2179,-0.0685,0.468
2.437545,0.2080,-0.1957,0.1859,0.341
2.454925,0.0533,-0.0714,0.0509,0.103
2.472773,-0.1235,0.0503,0.0739,0.152
2.491878,0.0039,0.3669,0.2613,0.450
2.509416,0.0770,0.5815,0.1650,0.609
2.528927,0.1964,0.6418,-0.0569,0.674
2.546342,0.2730,0.5831,-0.1378,0.658
2.564641,0.1477,0.2505,-0.0440,0.294
2.582555,0.0191,-0.0843,-0.1095,0.140
2.600988,-0.0359,-0.3155,-0.1388,0.347
2.619305,-0.0916,-0.3929,-0.0971,0.415
2.638422,-0.1718,-0.3766,0.0862,0.423
2.656683,-0.2361,-0.3053,0.1169,0.403
2.674940,-0.2630,-0.1806,-0.1401,0.348
2.693679,-0.1467,-0.1279,0.0236,0.196
2.711060,0.0922,-0.0965,0.2870,0.317
2.729280,0.4311,0.0098,-0.0114,0.431
2.748191,0.6076,0.2104,-0.0519,0.645
2.765843,0.5031,0.3770,0.1470,0.646
2.783970,0.0723,0.1675,0.0578,0.191
2.802218,-0.2203,-0.1997,0.0614,0.304
2.821014,-0.2095,-0.4443,0.1134,0.504
2.841028,0.1215,-0.3853,-0.0487,0.407
2.864542,0.5423,-0.1309,-0.1898,0.589
2.875718,0.6675,0.1122,-0.0242,0.677
2.894641,0.6183,0.2455,0.0753,0.669
2.914284,0.3806,0.2437,0.1330,0.471
2.930797,0.1131,0.0567,0.1880,0.227
2.949356,0.0558,-0.1584,0.3831,0.418
2.967165,0.1970,-0.2269,0.2685,0.403
2.985416,0.3997,-0.1737,0.1040,0.448
3.003487,0.3414,-0.1487,-0.0004,0.372
3.022544,0.0295,-0.2164,-0.1204,0.249
3.040317,-0.2453,-0.3009,-0.0491,0.391
3.064846,-0.1954,-0.2505,0.1251,0.341
3.076622,0.0758,-0.0985,0.1216,0.174
3.097013,0.1509,-0.0129,0.0136,0.152
3.114210,-0.0622,-0.0926,0.1261,0.168
3.132790,-0.2103,-0.1818,0.1486,0.315
3.150907,-0.2119,-0.2084,-0.0766,0.307
3.168187,-0.0292,-0.1977,0.1389,0.243
3.186974,0.1610,-0.2409,0.1312,0.318
3.205039,0.1988,-0.3006,-0.0068,0.360
3.223438,0.0953,-0.1600,0.0329,0.189
3.242094,0.0418,0.0495,0.0525,0.083
3.260505,0.0734,0.1434,0.0178,0.162
3.278291,0.0803,0.0588,0.0294,0.104
3.296915,-0.0235,-0.0543,0.0651,0.088
3.314937,-0.1043,-0.0094,0.0558,0.119
3.333694,-0.0521,0.0799,-0.0060,0.096
3.351603,0.0378,0.1013,-0.0704,0.129
3.369807,0.1089,0.0633,-0.0459,0.134
3.387865,0.0924,0.0671,0.0152,0.115
3.407167,0.0816,0.0852,0.0112,0.119
3.424833,0.1040,0.1091,0.0060,0.151
3.443132,0.0508,0.1033,0.0473,0.124
3.461278,0.0056,-0.0352,-0.0715,0.080
3.479914,0.1616,-0.2546,-0.0370,0.304
3.498152,0.3029,-0.1624,0.1365,0.370
3.516510,0.3917,0.0987,0.2039,0.452
3.534823,0.5159,0.1951,0.0039,0.552
3.552549,0.4755,-0.0002,0.0427,0.477
3.570654,0.2033,-0.3098,0.1643,0.405
3.590226,-0.0684,-0.4599,0.1580,0.491
3.608169,-0.2373,-0.4211,0.0343,0.485
3.626282,-0.1406,-0.2905,0.0809,0.333
3.644927,0.1138,-0.0369,0.0756,0.142
3.662901,0.3134,0.2101,-0.0400,0.379
3.681218,0.3844,0.3212,-0.0458,0.503
3.699098,0.2827,0.2247,0.1177,0.380
3.717123,0.1464,-0.0255,0.1804,0.234
3.735826,0.1025,-0.2270,0.0662,0.258
3.753696,0.1574,-0.2377,0.1066,0.304
3.772490,0.1094,-0.0853,0.0068,0.139
3.791519,-0.1624,-0.0928,-0.1947,0.270
3.808679,-0.2777,0.0425,-0.2451,0.373
3.827501,-0.1519,0.1391,0.1904,0.281
3.846491,0.0665,0.2802,0.0953,0.303
3.864135,0.2454,0.2980,0.1666,0.420
3.882187,0.1459,0.1584,-0.0100,0.216
3.900129,-0.0689,-0.0917,0.0800,0.140
3.918470,-0.0311,-0.2945,-0.0013,0.296
3.937351,0.1704,-0.4020,-0.1017,0.448
3.955305,0.3396,-0.2938,0.0520,0.452
3.973517,0.3699,-0.0431,0.1671,0.408
