time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002742,0.3911,-0.3907,-0.6244,0.834
0.005933,0.5832,-0.2821,-0.9419,1.143
0.014974,0.3755,-0.1481,-1.0432,1.119
0.026784,-0.0743,0.0052,-0.7364,0.740
0.036985,-0.4300,0.1507,-0.2693,0.529
0.046023,-0.5066,0.1927,-0.0566,0.545
0.054934,-0.4703,0.1589,-0.1991,0.535
0.066041,-0.4434,0.0976,-0.3131,0.552
0.074875,-0.3375,0.0469,-0.3638,0.498
0.086891,-0.2426,0.0092,-0.3287,0.409
0.095703,-0.1768,-0.0086,-0.3007,0.349
0.112173,-0.1303,-0.0300,-0.2826,0.313
0.114735,-0.1227,-0.0718,-0.2648,0.301
0.126476,-0.1370,-0.1198,-0.2328,0.295
0.138464,-0.1697,-0.1221,-0.2646,0.337
0.146243,-0.2804,-0.1079,-0.3432,0.456
0.154748,-0.4409,-0.0890,-0.3275,0.556
0.165831,-0.6481,-0.0509,-0.2610,0.701
0.174657,-0.6846,-0.0463,-0.2190,0.720
0.186405,-0.6344,-0.0774,-0.2430,0.684
0.194654,-0.6131,-0.1149,-0.3002,0.692
0.216930,-0.6099,-0.1322,-0.3376,0.710
0.218473,-0.5801,-0.1249,-0.3713,0.700
0.226450,-0.5221,-0.1297,-0.4145,0.679
0.235010,-0.4727,-0.1159,-0.3949,0.627
0.246768,-0.4563,-0.1003,-0.4033,0.617
0.255006,-0.4572,-0.0610,-0.3781,0.596
0.266071,-0.4724,-0.0180,-0.2965,0.558
0.274558,-0.4978,0.0041,-0.2570,0.560
0.286868,-0.4586,0.0056,-0.2142,0.506
0.294673,-0.3655,0.0487,-0.2202,0.429
0.313893,-0.2598,0.0993,-0.2911,0.403
0.315034,-0.1768,0.0975,-0.3665,0.418
0.326186,-0.1742,0.0847,-0.4783,0.516
0.336205,-0.2290,0.1067,-0.4786,0.541
0.345498,-0.3013,0.1566,-0.3773,0.508
0.354954,-0.3438,0.1641,-0.2961,0.482
0.365825,-0.3635,0.1404,-0.1817,0.430
0.374604,-0.3531,0.1452,-0.0889,0.392
0.386123,-0.3579,0.1733,-0.0629,0.403
0.394535,-0.3413,0.1982,0.0068,0.395
0.405526,-0.3466,0.2224,0.0698,0.418
0.415388,-0.3388,0.2346,0.1085,0.426
0.427488,-0.3687,0.2735,0.1560,0.485
0.435346,-0.4770,0.3128,0.2051,0.606
0.448068,-0.6077,0.3396,0.3478,0.778
0.454898,-0.7263,0.3671,0.5876,1.004
0.466975,-0.9002,0.4229,0.7245,1.230
0.475071,-1.0761,0.5036,0.8951,1.488
0.486859,-1.0747,0.4910,1.0516,1.582
0.495959,-1.0136,0.4129,1.2507,1.662
0.506355,-0.9935,0.4072,1.7843,2.082
0.515001,-1.0813,0.4521,1.5703,1.959
0.526301,-1.3429,0.6208,1.6839,2.241
0.534366,-1.6114,0.9070,1.6550,2.482
0.546933,-1.6029,0.8598,0.8804,2.021
0.554485,-1.1737,0.7164,0.4777,1.456
0.568096,-0.6426,0.4829,0.3100,0.861
0.574827,-0.0909,0.1848,0.0719,0.218
0.587658,0.3784,-0.0453,-0.3282,0.503
0.595255,0.5528,-0.0257,-0.6641,0.864
0.607365,0.5446,-0.1851,-0.9497,1.110
0.615468,0.5275,-0.1368,-1.3028,1.412
0.627310,0.3262,0.1224,-1.4214,1.464
0.634466,-0.3777,0.3064,-0.7108,0.861
0.646913,-0.8266,0.3489,0.0383,0.898
0.654260,-1.0209,0.3073,0.4874,1.172
0.666877,-1.0407,0.2594,0.7507,1.309
0.674284,-0.9446,0.2264,0.9065,1.329
0.687193,-0.8761,0.1298,0.8461,1.225
0.696047,-0.8181,0.0997,0.8013,1.149
0.706320,-0.7104,0.1963,0.5046,0.893
0.713794,-0.4017,0.2531,0.0280,0.476
0.726686,-0.0761,0.1643,-0.1158,0.215
0.733665,0.0889,-0.0581,0.1682,0.199
0.746782,0.1748,-0.3573,0.4932,0.634
0.753854,0.1737,-0.6153,1.5959,1.719
0.766405,-0.0031,-0.7896,3.4334,3.523
0.774997,-0.1577,-0.8370,2.9123,3.034
0.787558,0.0518,-0.4305,1.2761,1.348
0.794145,0.8688,-0.2455,0.6716,1.125
0.806949,0.6770,-0.7173,-0.4578,1.087
0.814343,1.2707,-1.4870,-0.9684,2.183
0.826790,1.5390,-2.0646,-0.3359,2.597
0.833958,1.1227,-1.6418,-0.4126,2.031
