time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003034,-0.4158,0.1792,-0.8333,0.948
0.013157,-0.3879,0.0522,-0.3885,0.551
0.031617,-0.2178,0.2161,0.1883,0.360
0.050847,-0.4689,0.0782,0.1779,0.508
0.068579,-0.3546,-0.2351,0.2510,0.494
0.087472,-0.0107,-0.4165,0.2773,0.501
0.104892,0.0769,-0.1767,0.2483,0.314
0.123756,-0.1999,0.1150,0.0562,0.237
0.141762,-0.4365,0.2028,0.0266,0.482
0.159800,-0.4733,0.2173,0.0163,0.521
0.178956,-0.5233,0.2227,-0.0142,0.569
0.196435,-0.7157,0.2809,-0.0549,0.771
0.215054,-0.7281,0.3137,-0.1409,0.805
0.234667,-0.7114,0.4404,0.0206,0.837
0.252172,-0.6395,0.3296,0.0784,0.724
0.270448,-0.6413,0.1032,-0.0424,0.651
0.295811,-0.4933,-0.0277,-0.4835,0.691
0.306984,-0.3245,0.1027,-0.6572,0.740
0.324919,-0.3861,0.2031,-0.5789,0.725
0.343342,-0.5192,0.1309,-0.4765,0.717
0.361714,-0.4799,0.1661,-0.1285,0.524
0.379661,-0.3893,0.1638,0.1182,0.439
0.398105,-0.4445,0.0483,-0.0156,0.447
0.416089,-0.5301,0.0497,-0.0689,0.537
0.435139,-0.5255,0.1498,0.0251,0.547
0.454121,-0.5958,0.0768,-0.1036,0.610
0.471333,-0.5319,0.0921,-0.1136,0.552
0.493572,-0.4336,0.1557,0.1965,0.501
0.507649,-0.3932,0.1313,0.4537,0.615
0.525982,-0.5282,0.0100,0.1539,0.550
0.544456,-0.4867,0.0823,0.1035,0.504
0.563160,-0.3531,0.1538,0.8091,0.896
0.582117,-1.1209,0.2140,2.3402,2.604
0.599729,-1.7447,-0.2788,4.8452,5.157
0.617964,-2.2842,-1.0415,4.6268,5.264
0.637244,-2.1344,-1.3854,3.4320,4.272
0.655166,-0.6223,-1.6751,1.5636,2.374
0.677346,0.5199,-1.8291,-0.5418,1.977
0.691541,1.0435,-1.1052,-1.8829,2.420
0.709725,0.1493,-0.2187,-2.0993,2.116
0.728227,-0.7806,0.4853,-1.6703,1.907
0.746038,-1.2619,0.6511,-1.1053,1.800
0.764328,-1.2402,0.3556,-0.3823,1.346
0.782430,-0.9750,-0.3265,1.1169,1.518
0.802153,-0.7132,-1.4475,2.3644,2.863
0.819308,-1.8026,-2.3260,4.4954,5.373
0.838660,-2.8945,-2.7997,5.3542,6.700
0.856439,-4.0798,-3.6538,4.5006,7.089
0.874962,-1.6866,-3.1685,3.5782,5.068
0.892137,0.5518,-3.4261,1.3930,3.739
