time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004486,-0.1839,0.5471,-1.9982,2.080
0.017225,-0.5817,0.2663,-0.3623,0.735
0.035193,-0.8810,0.2599,1.5832,1.830
0.054010,-0.9324,0.1752,2.3236,2.510
0.071995,-0.8487,0.2223,1.2645,1.539
0.092445,-0.7712,0.5773,-1.1045,1.466
0.109231,-1.1071,0.8658,-2.9233,3.244
0.127393,-1.3636,0.2716,-3.0026,3.309
0.145863,-0.9553,0.6503,-0.7911,1.401
0.164098,-0.4472,0.9282,1.3672,1.712
0.182463,-0.2925,0.9851,0.9400,1.393
0.200213,-0.2768,1.1752,-0.4453,1.287
0.219161,-1.1131,0.8209,-1.8979,2.348
0.236619,-1.2642,0.3421,-1.1716,1.757
0.254812,-0.9459,-0.2220,0.3607,1.036
0.273814,-0.9707,-0.6098,1.3543,1.774
0.292788,-0.9100,-0.0736,1.6465,1.883
0.311169,-0.7993,0.6380,0.3664,1.086
0.329887,-0.2343,1.2395,-0.4332,1.334
0.347034,0.0371,0.9103,0.2530,0.946
0.365285,-1.1055,0.3462,1.2721,1.721
0.383856,-0.1336,-0.1640,3.0965,3.104
0.401643,0.1328,0.9718,4.1759,4.290
0.420499,0.6954,0.8809,5.0999,5.222
0.438038,0.9943,0.0044,4.8737,4.974
0.456916,1.1222,-1.0651,3.8224,4.124
0.475529,0.6024,-1.5794,2.0448,2.653
0.494014,0.0360,-1.5470,0.1355,1.553
0.511616,0.5799,-0.8210,0.7802,1.272
0.530715,0.3521,-0.8404,0.9072,1.286
0.548927,1.4158,-1.8353,2.9347,3.740
0.568069,-1.4458,-2.1583,-0.9399,2.763
0.584606,-2.6088,-4.4100,-6.1871,8.033
0.603072,-3.0463,-2.7347,-6.0490,7.304
0.621695,-1.2151,-0.2912,-2.1264,2.466
0.640235,-0.0232,-0.1106,0.5214,0.534
0.658431,0.1579,-1.3204,1.0168,1.674
0.676913,-0.0892,-1.6392,-0.3557,1.680
0.695601,0.1244,-0.8615,-0.2975,0.920
0.713615,-0.3314,-0.9243,0.6623,1.184
0.730848,0.4033,-0.7101,-0.2776,0.863
0.750308,1.3497,-0.4713,-2.1503,2.582
