time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011649,-0.9388,-1.7625,-2.2869,3.036
0.029494,-0.0219,-1.2737,4.7195,4.888
0.046969,1.6599,-1.1855,6.5758,6.885
0.065464,1.6723,-1.1186,1.5442,2.536
0.084165,-0.1272,-0.0809,-3.0144,3.018
0.102308,-2.3341,0.4623,-3.3934,4.145
0.120964,-1.8660,0.3264,1.4612,2.392
0.140716,0.4949,-1.0725,5.3951,5.523
0.157606,1.9378,-0.8485,5.8281,6.200
0.175239,1.3338,-0.9941,2.5766,3.067
0.198737,-0.0289,0.6723,1.6170,1.751
0.212449,-0.0730,-0.0318,2.4568,2.458
0.231377,-0.8547,-1.3606,3.8485,4.170
0.248975,0.2090,-1.2713,5.2164,5.373
0.266960,1.0604,-0.2439,5.5421,5.648
0.285500,-0.0655,0.0412,4.5306,4.531
0.303834,-0.7655,-0.9223,4.9308,5.074
0.323162,-1.0913,-1.5156,4.4991,4.871
0.340671,-1.0236,-0.7214,2.4798,2.778
0.360220,-0.8879,0.2989,1.3609,1.652
0.376789,-0.0201,-0.4152,2.1833,2.223
0.395135,0.7487,-0.7818,4.0278,4.171
0.413342,0.7655,-0.8484,4.6480,4.786
0.431968,0.6072,-0.7372,3.4212,3.552
0.449992,-0.6166,0.0011,0.4640,0.772
0.468105,-1.7367,0.9525,-1.9742,2.797
0.486360,-1.0611,1.6490,-1.5541,2.502
0.504663,-0.0315,1.4952,1.1160,1.866
0.522983,0.2739,1.0287,1.5078,1.846
0.541688,-0.6356,1.1745,-1.5287,2.030
0.560295,-1.2369,1.3135,-3.8482,4.250
0.579220,-1.3076,0.8191,-2.8388,3.231
0.596162,-1.3481,-0.7999,-1.3321,2.057
0.615131,-1.8185,-1.1188,-1.5563,2.642
0.633219,-1.5087,0.1264,-3.7486,4.043
0.651493,-0.8608,1.2993,-3.9043,4.204
0.669259,-0.7414,0.7835,-0.3325,1.129
0.688600,-1.3469,-0.9076,2.1420,2.688
0.706167,-1.8021,-1.6469,0.2598,2.455
0.724670,-0.5200,-0.5776,-2.8317,2.936
0.742952,0.9927,0.7789,-4.2999,4.481
0.762094,1.4342,1.5645,-3.1238,3.777
0.779711,0.8817,1.3821,-1.9008,2.510
0.797598,-0.2379,1.1908,-1.9274,2.278
0.815962,0.0186,1.0459,-2.9153,3.097
0.834222,0.5701,1.3628,-3.4015,3.708
0.852300,1.0203,1.2718,-1.3963,2.147
0.871324,0.7226,1.2734,2.3758,2.791
0.890177,1.3993,0.0551,3.6038,3.866
0.909143,1.3152,-0.7208,1.1304,1.878
0.926241,-1.6046,-0.1940,-1.4753,2.188
0.943898,-2.1093,-2.1305,-6.0365,6.740
0.962433,-1.3633,-1.7120,-5.1590,5.604
0.981546,-0.4188,-0.7201,-2.1998,2.352
0.998932,-0.1911,-0.8760,1.0536,1.383
1.017213,-0.3117,-1.9000,3.7267,4.195
1.035539,-0.2996,-1.6924,4.3814,4.706
1.053669,-0.9060,-0.8648,2.8984,3.157
1.074531,-1.3277,-0.8484,-1.2475,2.010
1.090383,-1.5658,-0.5522,-4.7867,5.066
1.108782,-1.5875,0.2282,-4.2089,4.504
1.127409,-0.3204,0.9232,-0.6495,1.173
1.145497,0.5532,0.6867,1.1199,1.425
1.164288,-0.1858,0.1094,0.8900,0.916
1.182551,-0.5076,0.2154,-0.9076,1.062
1.200273,0.1336,0.5130,-1.6350,1.719
1.220029,0.6675,1.0195,-0.4069,1.285
1.237120,-0.2061,1.0973,-3.0636,3.261
1.256083,0.8055,0.9285,-5.2637,5.405
1.274362,0.0284,0.6117,-3.2592,3.316
1.293069,-0.2747,0.1088,-1.1012,1.140
1.312185,-0.0314,-0.2955,1.2253,1.261
1.328229,0.2125,-0.4474,1.7942,1.861
1.346701,0.0744,-0.4971,1.0754,1.187
1.364649,-0.1474,-0.5050,0.3089,0.610
1.383264,-0.0528,0.1615,-0.2928,0.339
1.401409,-0.0912,0.2645,-0.6547,0.712
1.420580,-0.1006,0.2241,-0.4648,0.526
1.438639,-0.1740,-0.0635,0.2058,0.277
1.460239,-0.0436,-0.1978,0.9853,1.006
1.475505,0.0771,-0.0681,1.0262,1.031
1.493819,-0.1730,0.1004,0.9325,0.954
1.511930,-0.6171,0.2458,1.0127,1.211
1.530901,-0.6877,0.2208,1.4612,1.630
1.548154,-0.3237,0.3536,0.2798,0.555
1.566115,-0.2732,0.5577,-2.8848,2.951
1.584714,-0.5056,0.1681,-2.0341,2.103
1.603139,-0.2259,-0.3277,0.2173,0.453
1.621677,0.1470,-0.0600,0.8056,0.821
1.639299,0.0183,0.1923,0.3988,0.443
1.658200,0.0706,0.4191,2.0787,2.122
1.676453,-0.9123,-0.1846,-1.8147,2.039
1.695396,-0.2426,0.2219,-1.1509,1.197
1.713047,-0.0286,-0.0045,-0.0926,0.097
1.730792,0.1171,-0.2430,0.0528,0.275
1.749264,-0.2692,-0.0973,0.0880,0.299
1.767579,-0.3445,0.0787,0.1791,0.396
1.786089,-0.2798,0.2447,0.0386,0.374
1.803889,-0.2342,0.1462,0.4076,0.492
1.822544,-0.1789,-0.0586,-0.0802,0.205
1.840835,-0.2492,0.0358,-0.1708,0.304
1.860607,-0.3161,-0.0635,0.0800,0.332
1.877399,-0.3971,-0.2209,0.0659,0.459
1.895891,-0.5133,-0.3293,0.0596,0.613
1.914746,-0.2775,-0.2235,0.2424,0.431
1.933560,-0.0641,-0.1184,0.0616,0.148
1.950581,-0.1852,-0.0479,0.0501,0.198
1.968692,-0.4297,-0.0778,0.1215,0.453
1.987640,-0.5548,-0.0693,0.1564,0.581
2.005401,-0.5407,-0.0087,0.1958,0.575
2.025782,0.0234,0.1161,0.1476,0.189
2.043774,0.0772,0.1377,0.1117,0.193
2.060785,-0.0729,0.0427,0.1472,0.170
2.079241,-0.2974,0.0425,0.1808,0.351
2.096847,-0.5405,0.1476,0.1040,0.570
2.114840,-0.5239,0.2184,0.0569,0.570
2.133343,-0.2507,0.2368,0.1474,0.375
2.152378,-0.3381,0.2343,-0.0729,0.418
2.171010,-0.5340,0.0784,0.0272,0.540
2.188906,-0.6143,0.0019,0.1296,0.628
2.207531,-0.5231,0.0764,-0.0037,0.529
2.225554,-0.3626,0.0453,-0.0799,0.374
2.244006,-0.4284,-0.0744,-0.0468,0.437
2.262075,-0.5625,-0.1360,0.0110,0.579
2.279933,-0.3153,-0.1397,0.0736,0.353
2.298121,-0.4673,-0.0051,0.0994,0.478
2.316664,-0.3413,0.1303,0.1349,0.389
2.335379,-0.1680,0.1288,0.0341,0.214
2.353840,-0.1734,0.0234,0.0428,0.180
2.371868,-0.2673,-0.1607,0.0551,0.317
2.389871,-0.2704,-0.1633,0.1696,0.358
2.409412,-0.2133,-0.1532,0.1985,0.329
2.427013,-0.0658,-0.1816,0.0814,0.210
2.444995,0.0964,0.0136,0.0361,0.104
2.463388,-0.0685,-0.0081,-0.0028,0.069
2.481718,-0.3062,-0.1696,0.0482,0.353
2.499770,-0.2935,-0.2214,0.1692,0.405
2.518422,-0.2650,-0.1178,0.0850,0.302
2.536108,-0.2051,0.0888,0.0564,0.230
2.554536,-0.1564,0.0990,0.0158,0.186
2.573142,-0.2638,0.0342,-0.0013,0.266
2.592541,-0.2922,-0.0421,-0.0123,0.295
2.609408,-0.2286,-0.0139,0.0463,0.234
2.628224,-0.1478,0.0582,-0.0308,0.162
2.645637,-0.2127,0.1373,-0.0342,0.255
2.664385,-0.3386,0.0867,-0.0410,0.352
2.682775,-0.3714,-0.0255,0.1224,0.392
2.701194,-0.3791,-0.0157,0.1995,0.429
2.718908,-0.3613,0.1083,0.0395,0.379
2.737121,-0.3164,0.1002,0.0616,0.338
2.756110,-0.3038,-0.0259,0.0610,0.311
2.774519,-0.4115,-0.1266,0.1037,0.443
2.793367,-0.2635,-0.1759,0.0949,0.331
2.811101,-0.2525,-0.1138,-0.1444,0.312
