time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006455,0.2655,0.0297,-0.1617,0.312
0.025896,0.3814,0.0558,-0.0869,0.395
0.043495,0.7235,0.4009,0.9453,1.256
0.061799,0.5726,0.4887,1.2145,1.429
0.079987,-0.1943,0.2544,0.5025,0.596
0.097984,-0.2096,0.0655,-0.2132,0.306
0.116834,-0.0740,0.2576,-0.7124,0.761
0.134937,0.0385,0.4005,-0.9551,1.036
0.153041,-0.0079,0.3908,-0.8451,0.931
0.171658,-0.0091,0.2746,-0.4063,0.491
0.190043,0.1833,0.2849,-0.0960,0.352
0.208393,0.1729,0.4892,0.1648,0.544
0.226122,0.3334,0.4262,0.0852,0.548
0.245819,0.1622,0.4485,0.0368,0.478
0.263262,-0.0161,0.3441,-0.2861,0.448
0.281541,0.0144,0.4731,-0.8596,0.981
0.299885,-0.2022,0.4501,-1.1203,1.224
0.318054,-0.0254,0.5691,-0.3412,0.664
0.335953,-0.3254,0.3708,0.4789,0.688
0.355056,-0.5679,0.3980,1.8240,1.951
0.373386,-0.3110,0.3110,2.1934,2.237
0.392170,0.1412,0.3981,2.2928,2.331
0.409070,0.1111,0.0313,2.3570,2.360
0.428078,-0.0862,-0.5725,3.3470,3.397
0.446341,0.4923,-1.3399,3.4606,3.743
0.465246,0.0454,0.0093,1.9701,1.971
0.482658,0.4689,-2.4329,-0.4002,2.510
0.502048,-0.3794,-2.1835,0.5223,2.277
0.519373,0.1478,-3.2605,0.8192,3.365
0.538114,-0.2585,-3.2537,-0.2013,3.270
0.556705,-0.6908,-1.3883,-2.4365,2.888
0.574915,-0.1844,-1.1419,-3.8646,4.034
0.592354,-0.2737,-0.4074,-2.8932,2.935
0.610763,-0.0913,-0.5581,-0.7894,0.971
0.630756,-0.6288,-1.0933,-0.4857,1.352
0.649530,-0.8868,-1.3276,-1.7701,2.384
0.667051,-0.8386,-0.7420,-3.5189,3.693
0.683502,-0.2130,-0.1041,-2.8121,2.822
0.701969,1.0601,0.4437,-0.4204,1.224
0.720476,1.4838,0.2547,0.4324,1.566
0.739141,0.8470,-0.6523,-0.9006,1.398
0.757964,-0.9871,-0.5734,-3.7248,3.896
0.776150,-1.7151,-0.3328,-4.8220,5.129
0.794428,-0.4963,0.2575,-3.2509,3.299
0.812784,1.0707,0.5031,-1.1863,1.675
0.830254,0.7771,0.2255,-0.4037,0.904
0.849265,0.0088,-0.0835,-0.7683,0.773
0.866945,-0.4742,0.3525,-2.7043,2.768
0.884948,0.5593,1.1444,-4.3475,4.530
