time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011205,0.0210,-0.0002,0.1675,0.169
0.031707,0.1543,0.0374,-0.1809,0.241
0.047380,0.2043,0.1019,-0.4241,0.482
0.066379,0.2069,-0.0117,-0.3151,0.377
0.084553,0.1433,-0.0539,-0.2017,0.253
0.102641,-0.0984,-0.0005,-0.0057,0.099
0.120915,-0.2448,0.0153,0.1039,0.266
0.139214,0.0651,0.0517,-0.2029,0.219
0.159395,-0.9243,0.0396,0.2856,0.968
0.175418,0.1070,-0.3880,0.1208,0.420
0.197403,0.0683,0.0754,0.1098,0.150
0.213496,-0.1032,-0.0479,0.0728,0.135
0.230642,0.2164,-0.1282,0.0691,0.261
0.249518,0.0033,-0.1207,-0.0537,0.132
0.267297,-0.0621,-0.0503,-0.2048,0.220
0.286206,-0.1083,0.0540,-0.4764,0.492
0.304312,-0.0164,0.0143,-0.5294,0.530
0.322278,0.0688,-0.0673,-0.3442,0.357
0.341664,-0.0546,-0.0705,-0.1060,0.138
0.359210,-0.1728,-0.0507,-0.0016,0.180
0.377474,-0.3092,-0.0405,-0.0262,0.313
0.396052,-0.3258,-0.0498,-0.0749,0.338
0.413248,-0.2892,-0.1797,-0.0235,0.341
0.431651,-0.3618,-0.1863,-0.0193,0.407
0.450862,-0.4431,-0.1578,-0.0005,0.470
0.468989,-0.4392,-0.1860,-0.0243,0.478
0.487035,-0.3560,-0.2364,-0.1203,0.444
0.505000,-0.3551,-0.1999,-0.2485,0.477
0.523462,-0.4261,-0.1202,-0.2815,0.525
0.542197,-0.4361,-0.1169,-0.2723,0.527
0.559987,-0.4311,-0.0322,-0.2587,0.504
0.578570,-0.4539,0.0458,-0.1975,0.497
0.596402,-0.4342,0.0931,-0.1310,0.463
0.614657,-0.2640,0.0583,-0.2429,0.363
0.632900,0.0382,-0.0652,-0.2844,0.294
0.651709,0.2934,-0.0459,-0.2297,0.375
0.670508,0.3252,0.0496,-0.0368,0.331
0.688120,0.3219,0.1143,0.0701,0.349
0.706576,0.3980,0.1701,0.0819,0.440
0.725319,0.4803,0.1455,0.0370,0.503
0.742898,0.5463,0.0168,0.1161,0.559
0.761756,0.4281,-0.0760,0.2977,0.527
0.779177,0.3139,-0.1901,0.3651,0.518
0.798084,0.3079,-0.5432,0.3567,0.719
0.816053,0.3585,-0.0898,-0.1637,0.404
0.834321,-0.0127,0.0382,-0.6606,0.662
0.852469,0.5646,-0.3276,-0.6401,0.914
0.871763,0.9808,-0.0075,-1.0481,1.435
0.889416,0.9749,0.1687,-0.9293,1.357
0.911679,0.6928,0.3822,-0.7555,1.094
0.928063,0.4163,0.4224,-0.6025,0.845
0.944788,0.3915,0.4437,-0.4013,0.715
0.962297,0.3574,0.6493,-0.2228,0.774
0.980967,0.1579,1.0176,0.0048,1.030
0.999408,-0.0969,1.2004,0.3139,1.245
1.017548,-0.1948,1.0779,0.7084,1.304
1.035499,-0.1660,0.7949,1.1414,1.401
1.053748,-0.3064,0.9333,1.2185,1.565
1.071995,-0.5064,0.9784,1.1952,1.625
1.091168,-0.4201,1.0979,0.8273,1.438
1.111133,-0.0999,1.1061,0.2964,1.149
1.127862,0.3146,0.9606,-0.1294,1.019
1.145957,0.5712,0.8405,-0.4200,1.100
1.163483,0.7604,0.8239,-0.7774,1.364
1.181644,0.9038,0.8843,-1.0005,1.612
1.201569,0.6881,0.9324,-0.6793,1.343
1.218598,0.3211,0.9173,-0.8318,1.279
1.236937,0.0371,1.0821,-0.8358,1.368
1.255073,-0.3645,1.2840,-0.4434,1.406
1.274425,-0.4840,1.1724,-0.1429,1.276
1.292921,-0.6580,1.1825,0.0443,1.354
1.310742,-0.5517,1.0255,0.1058,1.169
1.329369,-0.1814,0.9332,-0.0997,0.956
1.347392,0.1003,1.0041,-0.5002,1.126
1.364803,0.1127,1.2119,-0.6945,1.401
1.383821,0.0121,1.2793,-0.6744,1.446
1.401690,-0.0972,1.1147,-0.6179,1.278
1.420526,0.2913,1.0224,-0.4169,1.142
1.438899,0.4325,1.6095,-0.7486,1.827
1.459477,0.6560,1.2804,-0.5111,1.527
1.476050,0.9578,1.4266,-0.4446,1.775
1.493685,0.4975,1.5510,-0.2818,1.653
1.511027,0.4064,1.5532,0.0280,1.606
1.529401,0.5121,1.5373,0.1650,1.629
1.547762,0.8998,1.5381,0.2302,1.797
1.566301,1.4598,1.4090,0.3702,2.062
1.584413,2.3618,0.5929,1.2908,2.756
1.603097,1.8423,0.1770,2.4602,3.079
1.621292,0.3153,-0.4100,3.7026,3.739
1.637492,-1.0882,-0.2457,2.2031,2.469
1.655446,-1.0570,0.1688,1.0409,1.493
1.674351,-0.9613,0.1784,-0.4388,1.072
1.692410,-0.5594,-0.4474,-0.8826,1.137
1.710926,-0.2933,-1.3454,-0.8738,1.631
1.728591,-0.0700,-1.9376,-1.0687,2.214
1.746772,0.2227,-1.7720,-1.5516,2.366
1.765346,-0.2012,-1.3023,-1.8777,2.294
1.783477,-1.1034,-1.0937,-1.4778,2.144
1.801784,-1.7548,-1.0000,-1.1235,2.311
1.820235,-1.7700,-0.7402,-1.0288,2.177
1.839799,-1.4169,-0.2603,-0.7659,1.632
1.859352,-1.1497,0.0844,-0.0195,1.153
