time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001995,-0.0492,-0.0367,-0.0355,0.071
0.020347,0.0839,-0.0271,-0.1455,0.170
0.038711,0.0617,0.0015,-0.1151,0.131
0.056958,0.0106,0.0293,-0.0882,0.094
0.075428,0.0025,-0.0004,0.0658,0.066
0.094010,-0.0207,-0.0436,0.1608,0.168
0.112212,-0.0300,-0.0676,0.1597,0.176
0.130493,-0.0108,-0.0245,0.0697,0.075
0.149220,-0.0108,-0.0190,0.0231,0.032
0.166881,-0.0264,-0.0568,-0.0191,0.065
0.186130,0.0659,-0.2477,-0.0006,0.256
0.204083,0.0386,0.1375,-0.0551,0.153
0.222164,0.0127,-0.1281,-0.1047,0.166
0.240201,-0.0457,-0.0763,-0.0054,0.089
0.258761,-0.0350,0.1128,0.0142,0.119
0.276817,-0.0060,0.0451,0.0843,0.096
0.295178,-0.0434,0.0014,0.1011,0.110
0.313250,-0.0269,0.0147,0.1727,0.175
0.332383,0.0047,0.0193,0.1424,0.144
0.350084,-0.0598,-0.0083,0.0572,0.083
0.368693,-0.0713,-0.0221,0.0164,0.076
0.386334,-0.0114,-0.0508,0.0194,0.056
0.404874,0.0295,-0.0322,-0.0016,0.044
0.423844,-0.0006,0.0347,-0.0284,0.045
0.442097,0.0021,0.0488,-0.0248,0.055
0.459796,-0.0049,0.0431,0.0201,0.048
0.477955,0.0072,-0.0331,0.0062,0.034
0.496244,-0.0239,-0.0473,0.0110,0.054
0.514646,-0.0221,-0.0292,0.0308,0.048
0.533007,0.0007,0.0178,0.0611,0.064
0.551506,-0.0149,0.0319,0.0194,0.040
0.569102,-0.0256,0.0172,0.0576,0.065
0.587731,-0.0265,0.0032,0.0149,0.031
0.606285,-0.0334,-0.0164,-0.0292,0.047
0.624943,-0.0355,-0.0163,-0.0707,0.081
0.647427,0.0063,-0.0276,0.0355,0.045
0.660957,-0.0110,-0.0372,-0.0026,0.039
0.678848,0.0502,-0.0341,0.0795,0.100
0.698121,0.0356,-0.0350,0.1211,0.131
0.715552,-0.0025,-0.0250,0.1027,0.106
0.734242,0.0315,-0.0208,0.1682,0.172
0.752238,-0.0446,-0.0201,0.1511,0.159
0.771555,-0.0645,-0.0433,0.0637,0.101
0.791103,-0.0708,-0.0379,0.0243,0.084
0.807232,-0.0048,-0.0288,0.0433,0.052
0.825711,0.0077,-0.0239,-0.0099,0.027
0.843795,0.0056,0.0096,-0.0361,0.038
0.861622,0.0125,0.0046,-0.0112,0.017
0.880352,-0.0342,-0.0333,-0.0215,0.052
0.898401,0.0311,-0.0491,0.0537,0.079
0.916516,0.0401,0.0407,0.1026,0.117
0.935723,-0.0180,0.0179,0.0360,0.044
0.953568,-0.0417,0.0419,0.0949,0.112
0.971833,-0.0636,-0.2052,0.0908,0.233
0.991299,0.0086,0.1311,0.1342,0.188
1.008492,-0.0049,-0.0055,0.0439,0.045
1.026846,-0.0662,-0.1468,0.0649,0.174
1.045127,-0.0068,-0.0285,0.0974,0.102
1.063488,0.0347,0.0155,-0.0053,0.038
1.082430,-0.0494,-0.0221,0.0096,0.055
1.100501,-0.0463,0.0204,0.0422,0.066
1.117996,0.0621,0.0151,0.0023,0.064
1.137528,0.0565,0.0056,0.0105,0.058
1.155177,-0.0058,-0.0079,0.0536,0.055
1.173899,-0.0159,-0.0214,0.0014,0.027
1.192230,-0.0314,-0.0069,-0.0228,0.039
1.209568,-0.0372,0.0219,-0.0295,0.052
1.228486,-0.0286,0.0075,-0.0392,0.049
1.246260,0.0086,0.0253,0.0547,0.061
1.264306,0.0075,-0.0269,0.0438,0.052
1.282777,-0.0037,-0.0557,0.0675,0.088
1.301368,0.0047,-0.0557,0.0834,0.100
1.320764,0.0044,-0.0077,0.0577,0.058
1.338523,-0.0151,0.0021,0.0474,0.050
1.357382,-0.0197,0.0310,0.0418,0.056
1.375419,-0.0093,0.0168,0.0158,0.025
1.393602,-0.0273,-0.0111,0.0226,0.037
1.411056,-0.0364,-0.0110,-0.0001,0.038
1.429299,-0.0268,0.0034,-0.0144,0.031
1.447650,-0.0327,-0.0249,-0.0350,0.054
1.465992,-0.0191,-0.0305,-0.0141,0.039
1.484396,0.0047,-0.0073,0.0116,0.015
1.502901,0.0141,0.0020,0.0033,0.015
1.521539,0.0142,0.0018,0.0182,0.023
1.540496,0.0145,-0.0175,0.0522,0.057
1.557340,-0.0088,-0.0177,0.0681,0.071
1.575799,-0.0080,-0.0082,0.0419,0.043
1.594480,-0.0071,-0.0130,0.0259,0.030
1.612502,-0.0061,-0.0082,0.0239,0.026
1.630879,-0.0194,0.0156,0.0066,0.026
1.649295,-0.0279,0.0011,0.0314,0.042
1.667472,-0.0082,-0.0607,0.0366,0.071
1.685698,-0.0266,-0.0279,0.0814,0.090
1.703908,-0.0271,-0.0041,0.0704,0.076
1.724102,-0.0086,-0.0095,0.0702,0.071
1.740728,-0.0204,-0.1376,0.0755,0.158
1.759184,0.0276,0.0521,0.1175,0.131
1.776767,0.0387,0.1004,0.0324,0.112
1.795161,-0.0404,-0.1264,0.0565,0.144
1.813757,-0.0237,-0.0696,0.1124,0.134
1.831974,-0.0039,-0.0017,0.0044,0.006
1.850134,-0.0821,-0.0439,-0.0142,0.094
1.869621,-0.0687,0.0130,0.0179,0.072
1.887774,0.0353,0.0310,0.0349,0.059
1.905385,0.0583,0.0024,0.0721,0.093
1.923675,0.0486,-0.0110,0.0487,0.070
1.942123,0.0104,-0.0053,0.0214,0.024
1.960126,-0.0088,-0.0002,-0.0253,0.027
1.978496,-0.0422,0.0102,-0.0457,0.063
1.996463,-0.0565,0.0150,-0.0401,0.071
2.015185,-0.0430,-0.0372,-0.0471,0.074
2.033328,-0.0092,0.0709,0.0122,0.073
2.051732,-0.0057,-0.0717,0.0274,0.077
2.070755,-0.0161,-0.0534,0.0391,0.068
2.088157,0.0075,-0.0057,0.0178,0.020
2.106915,-0.0118,-0.0010,0.0107,0.016
2.125718,0.0031,0.0317,0.0226,0.039
2.143211,0.0140,0.0262,0.0569,0.064
2.161041,-0.0132,0.0071,0.1075,0.109
2.179575,-0.0276,-0.0354,0.0877,0.099
2.197771,-0.0361,-0.0018,0.0881,0.095
2.216269,-0.0219,-0.0018,0.0512,0.056
2.234609,-0.0083,-0.0394,0.0239,0.047
2.253189,0.0159,-0.0250,0.0254,0.039
2.272567,0.0111,-0.0153,0.0228,0.030
2.290294,-0.0033,0.0087,0.0056,0.011
2.307378,0.0063,-0.0056,0.0016,0.009
2.325819,0.0021,-0.0199,-0.0033,0.020
2.344592,-0.0165,-0.0151,-0.0138,0.026
2.362644,-0.0353,-0.0152,-0.0011,0.038
2.380794,-0.0354,-0.0105,0.0208,0.042
2.399577,-0.0359,-0.0011,0.0382,0.052
2.417575,-0.0173,-0.0060,0.0364,0.041
2.435911,-0.0081,-0.0067,0.0590,0.060
2.454653,0.0157,-0.0067,0.0635,0.066
2.475055,0.0015,0.0077,0.0397,0.040
2.490952,0.0017,-0.0067,0.0356,0.036
2.509049,-0.0123,-0.0682,0.0270,0.074
2.527049,-0.0312,-0.0250,0.0036,0.040
2.546091,-0.0265,-0.0203,0.0081,0.034
2.564004,-0.0224,0.0077,0.0413,0.048
2.582086,-0.0242,-0.1108,0.0213,0.115
2.600453,0.0283,0.0590,0.0850,0.107
2.618673,0.0442,0.0933,-0.0097,0.104
2.638029,-0.0496,-0.1433,0.0185,0.153
2.655667,-0.0084,-0.0683,0.1168,0.136
2.674252,0.0026,0.0042,-0.0010,0.005
2.692727,-0.0991,-0.0286,0.0531,0.116
2.710857,-0.0330,0.0186,0.0352,0.052
2.728737,0.0372,0.0179,0.0453,0.061
2.746784,0.0076,-0.0155,0.0952,0.097
2.766376,0.0071,-0.0105,0.0514,0.053
2.783936,0.0215,-0.0001,0.0033,0.022
2.802285,-0.0214,0.0097,-0.0018,0.024
2.820354,-0.0404,0.0153,-0.0461,0.063
2.839654,-0.0259,0.0291,-0.0263,0.047
2.856695,-0.0269,-0.0183,-0.0095,0.034
2.875731,-0.0079,0.0569,0.0067,0.058
2.893383,-0.0098,-0.0715,0.0169,0.074
2.911561,0.0078,-0.0436,0.0621,0.076
2.929908,0.0171,-0.0061,0.0268,0.032
2.949222,-0.0165,-0.0056,0.0251,0.031
2.966304,-0.0157,0.0273,0.0429,0.053
2.984266,0.0005,0.0226,0.0604,0.064
3.003097,-0.0263,0.0035,0.0740,0.079
3.021664,-0.0450,-0.0383,0.0212,0.063
3.039391,-0.0297,-0.0006,0.0158,0.034
3.057592,-0.0301,-0.0007,-0.0046,0.030
3.075893,-0.0314,-0.0339,-0.0267,0.053
3.093991,-0.0033,-0.0156,0.0033,0.016
3.112181,0.0340,-0.0212,0.0193,0.044
3.130509,0.0102,-0.0022,0.0548,0.056
3.148854,0.0062,-0.0071,0.0333,0.035
3.167235,-0.0025,-0.0119,0.0505,0.052
3.186155,-0.0206,-0.0023,0.0491,0.053
3.205541,-0.0293,-0.0023,0.0527,0.060
3.227865,-0.0335,-0.0119,0.0572,0.067
3.244208,-0.0285,-0.0113,0.0143,0.034
3.259652,-0.0092,-0.0256,-0.0005,0.027
