time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006744,-0.0380,0.0246,0.0415,0.061
0.027879,-0.1655,0.0995,-0.4895,0.526
0.043651,-0.2884,0.1151,-0.5187,0.605
0.062022,-0.2522,-0.2719,-0.3866,0.536
0.081407,-0.2091,0.2446,-0.2404,0.402
0.098804,-0.4087,0.1288,-0.3745,0.569
0.117198,0.0152,-0.0888,-0.2848,0.299
0.135864,-0.0342,0.0693,-0.0003,0.077
0.154776,-0.1068,0.0469,0.1100,0.160
0.172425,-0.0530,0.1077,0.2117,0.243
0.196331,0.0024,0.0925,0.1969,0.218
0.209014,0.0948,0.0453,0.1156,0.156
0.227478,0.1628,0.0091,0.1395,0.215
0.244856,0.1272,-0.0252,0.0573,0.142
0.263220,0.0559,0.0145,-0.0191,0.061
0.282627,-0.1614,0.0721,-0.0955,0.201
0.300251,-0.2121,0.0658,-0.1534,0.270
0.318376,-0.1652,0.0137,-0.2592,0.308
0.336843,-0.0445,0.0804,-0.2736,0.289
0.354749,-0.0913,-0.0028,-0.1259,0.156
0.373684,-0.0958,-0.0465,0.0413,0.114
0.391875,-0.1504,0.0228,0.0793,0.172
0.409707,-0.1318,0.1815,-0.0777,0.237
0.428962,-0.1498,0.2297,-0.2502,0.371
0.446920,-0.1302,0.1474,-0.1689,0.259
0.464763,-0.1065,0.1047,-0.0594,0.161
0.483152,-0.0431,0.0120,-0.0790,0.091
0.501909,0.0403,-0.0475,0.0216,0.066
0.521322,-0.0031,0.0278,0.0219,0.036
0.538843,0.0071,0.1707,-0.0872,0.192
0.556489,0.0378,0.2110,-0.1771,0.278
0.576594,0.1285,0.1372,-0.1770,0.258
0.594724,0.1161,0.0500,-0.1004,0.161
0.610937,-0.0147,0.0351,-0.1430,0.148
0.629026,-0.1340,0.0169,-0.0710,0.153
0.647548,-0.2166,-0.0077,0.0342,0.219
0.665931,-0.3200,0.0516,-0.1521,0.358
0.684391,-0.2576,0.0521,-0.2813,0.385
0.702646,-0.1835,-0.0009,-0.2195,0.286
0.722664,-0.0113,-0.0320,-0.1240,0.129
0.739565,0.0248,-0.0098,-0.1181,0.121
0.757400,-0.0509,0.0980,-0.1125,0.158
0.775655,-0.0515,0.1174,-0.0206,0.130
0.797700,0.0125,0.1168,0.0618,0.133
0.813439,0.0113,0.1132,0.0627,0.130
0.830713,0.0095,0.1045,0.1207,0.160
0.849551,-0.0274,0.0851,0.1108,0.142
0.868248,-0.0763,0.0790,0.0873,0.140
0.885741,-0.2003,0.0844,-0.0183,0.218
0.905425,-0.2806,-0.1834,0.1568,0.370
0.922366,0.0761,0.1909,0.0092,0.206
0.939808,-0.1294,0.0205,-0.2649,0.296
0.958073,0.0107,-0.1637,-0.1374,0.214
0.977608,-0.1193,0.0465,-0.1367,0.187
0.995045,-0.3347,-0.0179,-0.2086,0.395
1.013475,-0.3366,0.0631,-0.2224,0.408
1.031764,-0.3754,0.0614,-0.1983,0.429
1.050590,-0.2291,0.0229,-0.0885,0.247
1.069095,-0.1489,0.0223,0.0553,0.160
1.087260,-0.1934,0.0325,0.1367,0.239
1.105192,-0.1323,0.0611,0.1221,0.190
1.123798,-0.1625,0.0332,-0.0506,0.173
1.141877,-0.1383,0.0889,-0.0121,0.165
1.159677,-0.1159,0.0621,-0.0419,0.138
1.178712,-0.0156,0.1014,-0.1040,0.146
1.196531,0.0117,0.0011,-0.1767,0.177
1.214533,0.0872,0.0059,-0.1099,0.140
1.233452,0.0244,-0.0072,-0.0383,0.046
1.252721,0.0047,0.0262,-0.0816,0.086
1.270761,-0.0173,0.0576,-0.1822,0.192
1.289282,-0.0343,0.0634,-0.2013,0.214
1.306097,-0.0783,0.0601,-0.0911,0.134
1.325147,-0.1507,0.0411,-0.0050,0.156
1.342173,-0.1606,0.0530,0.0050,0.169
1.361328,-0.1317,0.0634,-0.0382,0.151
1.379025,-0.0837,0.0492,-0.0726,0.121
1.397837,-0.0978,0.0273,-0.1158,0.154
1.415708,-0.1153,0.0496,-0.1344,0.184
1.434365,-0.0990,0.0722,-0.0579,0.136
1.453495,-0.0091,0.0636,-0.0866,0.108
1.471059,-0.0051,0.0671,-0.1103,0.129
1.489421,-0.1147,0.0497,-0.0867,0.152
1.507924,-0.1046,0.1001,0.0625,0.158
1.525770,-0.1479,0.0871,0.0386,0.176
1.544741,-0.1231,0.0798,0.0145,0.147
1.562145,-0.1405,0.0723,-0.0431,0.164
1.580444,-0.0816,0.0660,0.0039,0.105
1.598915,-0.0522,0.0543,-0.0396,0.085
1.617828,-0.0864,0.0674,-0.1542,0.189
1.636147,-0.0772,0.0625,-0.1640,0.192
1.656236,-0.0047,0.0311,-0.1880,0.191
1.672313,-0.0250,0.0115,-0.1408,0.143
1.691401,-0.0801,-0.0051,-0.1215,0.146
1.708696,-0.1001,0.0384,-0.0108,0.108
1.726710,-0.1981,0.1043,0.0371,0.227
1.745945,-0.2058,-0.0281,0.0172,0.208
1.764082,0.1571,-0.0045,0.0121,0.158
1.782361,-0.2182,0.2104,-0.1926,0.359
