time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009856,0.1553,-0.0448,-0.7800,0.797
0.030513,0.1216,0.0569,-0.8251,0.836
0.047012,0.1729,-0.1360,-0.4620,0.512
0.065824,-1.0696,0.0260,0.4606,1.165
0.085384,-0.6346,-0.2639,0.4387,0.815
0.102518,-0.1824,-0.2983,0.1802,0.393
0.120881,0.1020,-0.0773,0.2632,0.293
0.138505,0.4307,-0.0198,-0.3056,0.529
0.156795,0.6180,0.0368,-0.5256,0.812
0.175301,0.5384,0.1544,-0.5366,0.776
0.194209,0.3810,0.1531,-0.3150,0.517
0.212816,0.2535,0.2115,-0.1084,0.347
0.230270,0.1751,0.2675,-0.0024,0.320
0.248895,0.0078,0.4263,-0.0442,0.429
0.266967,-0.2408,0.6021,-0.0567,0.651
0.290987,-0.3454,0.7073,-0.0799,0.791
0.303381,-0.3788,0.8111,-0.0692,0.898
0.321757,-0.3092,0.8363,0.0601,0.894
0.340300,-0.0828,0.8717,0.1715,0.892
0.357550,0.2582,0.8398,0.1774,0.896
0.375681,0.4562,0.7508,0.2695,0.919
0.394156,0.3254,0.7456,0.3301,0.878
0.412397,0.0905,0.8169,0.2580,0.861
0.431063,-0.0231,0.8128,0.1719,0.831
0.449522,0.0199,0.7224,-0.0331,0.723
0.468839,0.1704,0.6571,-0.3055,0.744
0.491290,0.3177,0.6302,-0.5250,0.880
0.505147,0.2590,0.7356,-0.6057,0.987
0.522854,0.0690,0.8956,-0.7106,1.145
0.540876,-0.0442,0.8850,-0.6259,1.085
0.559710,-0.0910,0.7245,-0.3848,0.825
0.577801,-0.0634,0.5744,-0.2240,0.620
0.595827,-0.0718,0.6308,-0.3302,0.716
0.614558,-0.2525,0.9619,-0.5256,1.125
0.633037,-0.5087,1.3057,-0.6880,1.561
0.651062,-0.5576,1.2372,-0.4991,1.446
0.670984,-0.1362,0.6087,0.2665,0.678
0.691375,0.5202,0.7762,0.3428,0.995
0.705806,0.2920,1.0365,-0.1006,1.082
0.724234,0.1801,1.1961,-0.0377,1.210
0.742353,-0.3446,1.5721,-0.2746,1.633
0.760904,-0.1306,1.2839,0.1403,1.298
0.779544,0.3207,1.2607,0.1216,1.307
0.807715,0.7605,1.3833,0.0848,1.581
0.817994,0.7833,1.5314,0.2483,1.738
0.833822,0.0984,1.7047,0.4163,1.758
0.852327,-0.4173,1.6584,0.6010,1.813
0.870556,0.0407,1.1587,1.2937,1.737
0.888630,1.0186,0.1791,2.7013,2.892
0.906708,1.7514,-0.5840,3.4461,3.909
0.925349,1.7360,0.0169,2.9817,3.450
0.944237,0.8914,0.2467,2.7639,2.915
0.961632,-0.2047,-0.4552,3.9844,4.016
0.980828,-1.5615,-1.7458,5.1855,5.690
0.998460,-2.5868,-2.0154,4.4964,5.565
1.017306,-2.9808,-1.9766,2.7696,4.524
1.038586,-2.1761,-1.6127,-0.6689,2.790
1.051909,-1.5243,-1.2856,-1.9061,2.758
1.069057,-0.9147,-0.9879,-2.6856,3.004
1.087757,-0.5662,-0.9397,-2.4918,2.723
1.105612,-0.3730,-0.8605,-2.0195,2.227
1.124249,-0.2238,-0.5510,-1.7956,1.892
1.142524,-0.2508,-0.1283,-1.8688,1.890
1.161510,-0.3102,0.3079,-1.8850,1.935
1.179881,-0.2979,0.5619,-1.7120,1.826
1.198714,0.0945,0.4999,-1.4662,1.552
1.215870,0.6105,0.5308,-1.0788,1.348
1.233735,0.6551,0.5498,-0.6910,1.100
1.252227,0.2087,0.4313,-0.2760,0.553
1.270449,-0.2063,0.2344,-0.2058,0.374
1.289618,-0.3333,0.2563,-0.5395,0.684
1.307658,-0.1741,0.5544,-1.4146,1.529
1.326024,0.1076,0.6455,-2.2236,2.318
1.344714,0.4803,0.3287,-2.4545,2.523
1.362125,0.6287,0.9098,-2.7444,2.959
1.381036,0.7071,0.2260,-2.0388,2.170
1.398787,0.9691,0.2865,-1.2071,1.574
1.418521,0.3636,0.5087,-0.5826,0.855
1.436192,-0.5033,0.7924,0.4945,1.061
1.453404,-1.6729,1.2265,1.0981,2.347
1.472077,-2.4219,1.3529,1.5952,3.200
1.490711,-2.1067,1.2210,1.6109,2.920
1.508437,-0.9832,1.0810,1.6900,2.234
1.526538,0.1975,0.1749,2.4424,2.457
1.545855,1.4645,-0.9361,3.6951,4.083
1.564738,1.1689,-1.4284,4.8429,5.183
1.582519,-0.5028,-2.0860,6.0415,6.411
1.599962,-2.4639,-2.1919,6.0940,6.929
1.618141,-2.2660,-1.8739,4.4645,5.346
1.637316,-0.9190,-1.3941,1.6299,2.333
1.654641,1.6106,-1.3038,-1.1508,2.370
1.673931,4.2158,-1.3458,-2.9382,5.312
1.692833,4.6947,-1.3764,-3.2243,5.859
1.711044,2.8941,-1.2679,-2.0997,3.794
1.729487,0.9410,-1.2174,-0.9232,1.794
1.746020,-0.3471,-0.6069,-0.5736,0.904
1.765244,-0.7571,0.1005,-1.0552,1.303
1.782816,-0.4022,0.4948,-1.6384,1.758
1.802011,0.2490,0.7014,-2.0105,2.144
1.819990,0.8120,0.7953,-1.7106,2.054
1.838187,0.1466,0.6999,-1.6990,1.843
1.856608,-0.5890,0.5626,-1.2704,1.509
1.875151,-1.0837,0.6079,-1.6253,2.046
1.892842,-0.9729,0.7076,-2.6383,2.900
1.912289,-0.6772,0.4768,-3.4933,3.590
1.930085,0.0785,0.2861,-3.9117,3.923
1.948768,0.5371,0.1511,-3.6814,3.723
1.966064,0.5230,0.2103,-2.9234,2.977
1.985091,0.2998,0.1766,-1.8023,1.836
2.003498,0.0100,-0.1599,-0.7386,0.756
2.021328,-0.2701,0.7635,-0.2604,0.851
2.038857,-0.7753,0.8527,0.1311,1.160
2.057705,-0.7821,1.1773,0.8733,1.661
2.075716,-1.0976,1.7305,1.4981,2.538
2.094483,-1.1497,2.1171,2.4563,3.441
2.112029,-1.3371,2.2117,3.2462,4.149
2.130803,-0.6694,1.4079,4.0413,4.332
2.149287,0.6405,0.2254,4.6419,4.691
2.168569,1.6756,-0.8854,4.5698,4.947
2.186929,2.8378,-1.3059,3.5132,4.701
2.204640,2.1316,-1.1500,3.0807,3.919
2.222581,-0.6966,-1.1509,3.6193,3.861
2.240976,-3.7705,-1.8730,4.6530,6.275
2.259957,-4.9671,-2.5296,3.5515,6.609
2.279354,-2.8469,-2.3210,0.3196,3.687
2.296443,0.0863,-1.8324,-2.6396,3.214
2.315882,2.5126,-1.1830,-3.6959,4.623
2.333090,2.8708,-0.6159,-3.6382,4.675
2.350535,1.5001,-0.0726,-2.9383,3.300
2.368528,0.0329,0.2690,-2.0593,2.077
2.386644,-0.6105,0.2541,-0.8535,1.080
2.404922,-0.6722,0.2172,0.1560,0.723
2.423291,-0.3695,0.3016,0.5972,0.764
2.441732,-0.1434,0.3803,0.8200,0.915
2.460347,-0.3071,0.4491,0.4518,0.707
2.479665,-0.3874,0.5066,-0.4287,0.768
2.496347,-0.3422,0.4782,-1.4933,1.605
2.516426,-0.1657,0.3112,-2.4964,2.521
2.534234,0.0534,0.2156,-3.5332,3.540
2.552324,0.2795,0.1154,-4.2626,4.273
2.569787,0.3997,0.0885,-4.5984,4.617
2.588478,0.4405,0.0786,-4.4151,4.438
2.607190,0.1076,0.2576,-3.9334,3.943
2.624606,-0.2856,0.2393,-2.7864,2.811
2.643506,-0.7204,0.0976,-1.1650,1.373
2.662080,-0.9216,-0.2464,0.5017,1.078
2.681786,-0.5439,0.7170,1.9750,2.170
2.697685,-1.8171,1.2220,2.7824,3.541
2.716207,-2.7081,1.4388,4.2962,5.278
2.733909,-3.0037,0.8858,5.2265,6.093
2.752633,-1.2048,-0.8427,5.6117,5.801
2.771250,2.7842,-1.4767,5.4449,6.291
2.789490,2.2206,-1.9676,5.3898,6.152
2.807915,-0.9623,-1.5369,5.5881,5.875
2.826326,-2.5696,-0.7826,3.9971,4.816
2.846074,-1.6231,-0.9342,1.1269,2.186
2.863119,1.1596,-1.5168,-1.3303,2.327
2.881439,3.9639,-1.6391,-3.0790,5.280
2.899636,4.5808,-1.4772,-3.3906,5.887
2.917417,2.9470,-1.5030,-2.6407,4.233
2.936042,0.9812,-1.0527,-1.9975,2.462
2.954013,-0.8350,-0.4558,-1.8963,2.122
2.972334,-1.5406,0.3540,-1.7972,2.393
2.990363,-1.6016,0.6680,-1.5821,2.348
3.009342,-0.9839,0.5794,-1.2126,1.666
3.026897,-0.2574,0.3941,-0.9524,1.062
3.045732,0.1538,0.2831,-0.7802,0.844
3.063859,0.1408,0.2060,-0.9630,0.995
3.081778,-0.0068,0.3444,-1.4608,1.501
3.100634,-0.1545,0.5202,-2.0755,2.145
3.118548,-0.2385,0.5878,-2.6453,2.720
3.136948,-0.1344,0.4633,-3.0564,3.094
3.155222,-0.0019,0.2701,-3.1525,3.164
3.173565,0.1320,0.2798,-3.1546,3.170
3.191939,0.2177,0.3589,-2.9183,2.948
3.210107,0.2658,0.3627,-2.1314,2.178
3.228948,0.1137,0.1465,-0.5763,0.605
3.247269,-0.5540,0.2530,1.3678,1.497
3.266089,-1.2426,0.5540,2.5754,2.913
3.284357,-1.4812,1.0200,2.6963,3.241
3.302028,-0.7871,1.5283,2.4940,3.029
3.319776,-0.9501,1.7242,2.1130,2.888
3.338288,-0.4421,1.3474,3.2458,3.542
3.356300,0.0057,1.1156,3.8362,3.995
3.375040,0.6409,-0.6726,4.5460,4.640
3.393811,1.5974,-2.1333,5.0712,5.729
3.411670,1.6822,-1.2160,3.2228,3.833
3.429317,0.5131,-1.8216,3.0933,3.626
3.447835,-1.0295,-2.8956,3.1328,4.388
3.465826,-1.4324,-2.5037,1.6497,3.323
3.484539,-0.6978,-1.4215,-0.5307,1.670
3.502478,-0.3067,-0.7343,-1.9562,2.112
3.521665,-0.2267,-0.5748,-2.2249,2.309
3.539692,-0.1509,-0.0944,-2.4839,2.490
3.557891,-0.1614,0.3688,-2.3984,2.432
3.575596,-0.1000,0.4892,-2.0434,2.104
3.594387,0.1619,0.4368,-1.3151,1.395
3.612279,0.2325,0.3960,-0.8001,0.923
3.630682,0.1808,0.5604,-1.0561,1.209
3.648846,0.4830,0.6434,-1.8143,1.985
3.667205,0.7235,0.7734,-2.7274,2.926
3.685424,0.7472,0.6242,-3.0487,3.200
3.703989,0.6763,0.4974,-3.0277,3.142
3.722356,0.6505,0.3797,-2.9783,3.072
3.740654,0.3970,0.3113,-2.6571,2.705
3.758959,0.2730,0.1005,-2.1711,2.191
3.778051,0.2945,-0.0488,-1.4247,1.456
3.796176,0.0622,0.0574,-0.5553,0.562
3.813715,-0.5316,0.0682,0.4898,0.726
3.833444,-1.2121,0.2134,1.0520,1.619
3.850504,-1.7920,0.7254,1.0866,2.218
3.868678,-2.0225,1.3265,0.9077,2.583
3.886958,-2.3964,1.5743,1.1889,3.104
3.905368,-1.8311,0.5252,2.3142,2.997
3.924035,0.3697,-1.5089,4.1852,4.464
3.942331,2.3802,-2.0934,5.4751,6.327
3.961010,1.3151,-1.8303,5.4706,5.917
3.979409,-0.0181,-2.2240,5.6989,6.117
3.997673,-0.1064,-2.0626,4.0965,4.588
