time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012666,-0.0084,0.2482,-0.7077,0.750
0.030681,0.2278,0.2483,-0.2273,0.406
0.048824,0.7290,0.0262,0.7133,1.020
0.068656,1.3176,0.1228,1.2921,1.850
0.085755,1.1681,0.3425,1.2046,1.713
0.103979,0.5872,0.1902,0.2798,0.678
0.122795,0.0605,-0.1972,-0.5556,0.593
0.140789,-0.2107,-0.2948,-0.9020,0.972
0.158764,0.2246,0.0317,-0.9080,0.936
0.177347,0.7008,0.4062,-0.7102,1.077
0.197426,0.5551,0.5266,-0.0879,0.770
0.214334,0.4609,0.3431,0.4243,0.714
0.232392,0.4141,0.0516,0.2682,0.496
0.250287,0.2103,-0.1765,-0.3679,0.459
0.268389,0.0897,-0.1184,-0.7199,0.735
0.286848,0.3135,0.1180,-0.6432,0.725
0.305968,0.5694,0.3502,-0.1093,0.677
0.323913,0.5699,0.4974,0.2892,0.810
0.342469,0.3455,0.2984,0.0002,0.457
0.360726,0.1693,0.0848,-0.1440,0.238
0.379305,-0.0602,0.1548,-0.1204,0.205
0.396958,-0.0662,0.1126,-0.2623,0.293
0.416000,-0.0463,0.1278,-0.0814,0.158
0.433474,-0.2141,0.1889,0.2999,0.414
0.452729,-0.6960,0.6143,0.9701,1.343
0.470093,-0.8163,0.9278,2.2903,2.602
0.488539,-0.0963,0.2693,3.8611,3.872
0.506398,-0.1050,-0.7435,3.1445,3.233
0.524818,0.1814,0.0974,3.2863,3.293
0.543495,0.0383,0.8548,4.0571,4.146
0.563062,-0.3883,0.1590,4.0647,4.086
0.580545,1.2630,-2.7196,4.9670,5.802
0.598349,1.3154,-3.9184,3.2356,5.249
0.616422,-1.8363,-1.1744,-0.9681,2.385
0.634788,-1.5736,-1.2756,-6.2284,6.550
0.653187,-0.5654,-1.2653,-6.2663,6.418
0.671545,-0.7260,0.2822,-2.2574,2.388
0.690299,-0.1810,-0.1803,0.5657,0.621
0.708497,-1.0876,-1.3904,0.5024,1.835
0.727066,-1.9649,-2.1539,-1.2034,3.154
0.752638,-1.9816,-1.9488,-2.4534,3.707
0.763152,-2.1159,-1.4569,-2.3834,3.504
0.781163,-1.5632,-1.3725,-2.3359,3.128
0.802816,-1.2753,-1.5482,-2.7093,3.371
0.817546,-0.4965,-1.0237,-2.6783,2.910
0.836379,-0.3373,-0.3215,-2.1923,2.241
0.854586,0.0197,-0.1394,-1.6305,1.637
0.872846,1.1715,0.1632,-1.4931,1.905
0.890955,2.2565,-0.0555,-3.0931,3.829
0.910090,2.5522,0.0943,-4.2112,4.925
0.928069,1.8952,0.0831,-4.2710,4.673
0.948884,0.5030,-0.1962,-3.7023,3.741
0.964371,-0.7295,-0.5689,-3.3122,3.439
0.982599,-1.1002,-0.4922,-2.1579,2.472
1.000069,-1.0466,-0.4964,-1.1231,1.613
1.019222,-0.9621,-0.7631,-0.9331,1.542
1.036857,-0.6114,-0.6290,-0.8260,1.205
1.055464,-0.3838,-0.6359,-1.2201,1.428
1.073401,-0.1992,-0.4007,-1.1314,1.217
1.091925,-0.0623,-0.3242,-1.1088,1.157
1.110587,0.2021,0.0163,-1.0839,1.103
1.128398,0.4756,0.2623,-1.3478,1.453
1.146833,0.2985,0.2757,-2.0708,2.110
1.165166,-0.0105,0.3103,-2.2619,2.283
1.183987,-0.0591,0.1020,-1.7835,1.787
1.201869,0.0722,0.1511,-1.1734,1.185
1.220355,-0.0406,0.2753,-1.0484,1.085
1.238390,-0.4279,0.2843,-1.2905,1.389
1.257690,-0.7176,0.3739,-1.4289,1.642
1.275809,-1.1687,0.8837,-1.5499,2.133
1.293948,-1.0247,1.4890,-1.9101,2.630
1.313020,-0.8586,2.2235,-1.9691,3.092
1.329538,0.0192,2.6329,-1.2101,2.898
1.348724,1.1577,2.7968,0.0282,3.027
1.366360,1.8235,2.3290,0.6677,3.032
1.384943,2.1838,1.3649,1.4584,2.959
1.402756,2.1066,0.4436,2.2298,3.099
1.422257,1.4585,-0.4460,2.5102,2.937
1.445661,0.7948,-1.0148,2.1605,2.516
1.457787,-0.5059,-1.8939,0.7375,2.094
1.477046,-0.9990,-1.8012,-0.1595,2.066
1.494641,-0.4640,-1.2322,-0.1479,1.325
1.513202,0.0575,-0.8399,0.2220,0.871
1.531725,0.3025,-0.7430,0.2225,0.833
1.549632,0.4956,-0.8388,0.2028,0.995
1.567895,0.8502,-0.7304,0.4076,1.193
1.585773,0.9905,-0.6755,-0.0206,1.199
1.604791,1.0538,-0.7112,-0.7865,1.495
1.623426,1.2357,-0.7197,-1.2694,1.912
1.641769,1.3337,-0.9935,-1.1137,2.002
1.660098,1.0460,-1.2201,-1.0140,1.900
1.678165,0.7306,-1.2815,-1.1909,1.896
1.696645,0.5675,-1.2716,-1.3113,1.913
1.714019,0.4561,-1.2471,-0.9400,1.627
1.732482,0.3808,-1.3414,-0.5970,1.517
1.751223,0.3806,-1.2429,-0.7923,1.522
1.769470,0.4526,-0.7461,-1.4107,1.659
1.788778,0.2369,-0.3261,-1.7354,1.782
1.806827,0.5197,-0.0945,-1.7281,1.807
1.824999,0.7871,0.1472,-1.5520,1.746
1.843572,0.7079,0.3039,-1.4960,1.683
1.862087,0.7640,0.6540,-1.3013,1.645
1.880586,0.8628,0.8659,-0.8367,1.481
1.898683,0.7892,1.0679,-0.3862,1.383
1.915754,0.2661,1.0718,-0.0724,1.107
1.934625,-0.0619,1.4301,0.2452,1.452
1.953257,-0.4819,2.0086,-0.2266,2.078
1.970207,-0.1879,2.6290,-1.1825,2.889
1.988917,0.8799,2.9543,-1.9593,3.653
2.007908,0.8461,1.6831,-1.6950,2.534
2.026368,0.5077,0.7841,-0.2529,0.968
2.044790,0.3204,-0.2803,1.5837,1.640
2.062621,-0.2568,-1.1464,2.6703,2.917
2.081376,-0.8949,-1.5564,2.7810,3.310
2.098157,-1.6596,-1.5208,2.2022,3.149
2.116497,-2.4925,-1.8371,1.0543,3.271
2.135562,-1.8212,-1.6005,-0.2122,2.434
2.153588,-1.0435,-1.2605,-0.8774,1.857
2.171486,-0.6031,-0.2117,-1.1214,1.291
2.190054,-0.3588,0.1235,-0.3523,0.518
2.208355,-0.1599,0.2666,0.4994,0.588
2.227230,0.2294,0.4140,0.9097,1.025
2.244895,0.6419,0.6012,0.3558,0.949
2.265447,1.0190,0.4873,-0.4865,1.230
2.281659,0.8854,-0.1733,-0.5787,1.072
2.299776,0.4674,-1.1390,-0.2999,1.267
2.318534,-0.0695,-2.1424,-0.3527,2.172
2.336766,-0.2693,-2.4018,-0.6481,2.502
2.354873,-0.5869,-1.9747,-1.1104,2.340
2.373893,-0.9628,-1.7603,-1.1990,2.337
2.392478,-0.6448,-1.7021,-0.6539,1.934
2.411167,-0.4332,-1.3292,-0.4447,1.467
2.428651,-0.6578,-0.8637,-1.1568,1.586
2.446951,-0.9062,-0.4497,-1.7027,1.981
2.465176,-0.4260,-0.0143,-1.4552,1.516
2.482628,0.5555,0.4938,-0.7303,1.042
2.501225,0.5302,0.6622,-0.4507,0.961
2.577281,0.5046,1.7001,-0.6462,1.887
2.594889,-0.1693,1.6373,-0.7373,1.804
2.613364,-0.7298,1.9969,-1.3331,2.509
2.631234,-0.1491,2.4879,-1.4240,2.871
2.649826,0.6976,2.4841,-0.7164,2.678
2.667846,0.8268,1.8406,-0.3225,2.043
2.686662,0.7542,0.6829,0.1457,1.028
2.704795,1.3164,-0.2160,1.7695,2.216
2.723285,2.0882,-0.8182,4.0801,4.656
2.741152,1.6292,-1.3653,3.9621,4.496
2.759574,0.3127,-1.1968,1.7162,2.116
2.778971,-0.9780,-0.5180,-0.5209,1.223
2.796449,-1.5958,-0.2023,-1.2761,2.053
2.814332,-0.7458,-0.2626,-0.1889,0.813
2.832528,0.6862,-0.0501,1.0120,1.224
2.851161,0.8358,-0.8010,1.2467,1.701
2.869060,0.8299,-0.8764,0.6947,1.393
2.888297,0.8558,-0.7798,-0.1497,1.167
2.905875,1.2436,-0.5982,-0.9843,1.695
2.924121,1.0879,-0.7714,-1.4986,2.006
2.944955,0.6058,-1.3572,-1.5054,2.115
2.961375,0.1552,-1.8711,-0.8410,2.057
2.979562,0.2486,-1.9080,-0.0260,1.924
2.997968,0.2481,-1.7771,0.2418,1.811
3.016348,-0.1572,-1.6481,-0.2811,1.679
3.033582,-0.1637,-1.2808,-1.0204,1.646
3.052159,0.3264,-0.6857,-1.3650,1.562
3.071464,0.8704,-0.2580,-1.2437,1.540
3.088820,0.9108,-0.1060,-1.0385,1.385
3.107321,0.9392,0.0171,-0.8967,1.299
3.125635,1.0064,0.3337,-0.7271,1.286
3.148829,1.1501,0.7771,-0.4212,1.451
3.162827,1.2044,1.1091,-0.1751,1.647
3.180197,0.7538,1.1941,0.1124,1.417
3.199218,0.1631,1.2516,0.1401,1.270
3.217093,-0.4993,1.6838,-0.4398,1.810
3.235267,-0.7452,2.3580,-1.0099,2.671
3.253888,-0.3917,2.9652,-0.8032,3.097
3.271907,0.2254,2.4650,-0.1709,2.481
3.290129,1.2308,1.4976,0.6358,2.040
3.308984,1.6115,0.3637,0.9852,1.923
3.326685,1.0689,-0.3600,0.7841,1.374
3.346457,0.2228,-0.6003,0.4672,0.793
3.363658,-0.4871,-0.6479,0.5296,0.968
3.382319,-0.8229,-0.6012,0.8331,1.316
3.402643,-0.9139,-0.7571,1.1722,1.668
3.418090,-0.8927,-0.7439,0.9146,1.479
3.436731,-0.7194,-0.6380,0.2039,0.983
3.454915,-0.4515,-0.5316,-0.2749,0.750
3.473289,-0.2190,-0.5024,-0.6852,0.877
3.492132,0.1250,-0.4632,-0.7908,0.925
3.510195,0.1582,-0.7620,-0.5945,0.979
3.528910,-0.0082,-1.1532,-0.3916,1.218
3.546471,0.1363,-1.3638,-0.3519,1.415
3.565899,0.3578,-1.1868,-0.6460,1.398
3.584206,0.4626,-1.0324,-1.0947,1.574
3.601330,0.3251,-1.1638,-1.1546,1.671
3.620240,0.2351,-1.1996,-0.7035,1.410
3.637986,0.3205,-1.0367,-0.0903,1.089
3.656750,0.2437,-0.9061,0.1060,0.944
3.674623,-0.1230,-0.6066,-0.3249,0.699
3.693493,-0.3042,-0.1535,-0.5266,0.627
3.713874,-0.2336,0.0478,-0.0854,0.253
3.729655,-0.4119,0.0350,0.1305,0.433
3.747658,-0.6231,0.2442,0.0625,0.672
3.766157,-0.6105,0.6663,0.0843,0.908
3.783964,-0.2887,0.8678,0.2362,0.945
3.802310,0.0859,0.9937,0.3786,1.067
3.820710,0.2243,1.2156,0.6271,1.386
3.839231,-0.4133,1.3215,0.4421,1.453
3.857935,-0.9756,1.4236,-0.2092,1.738
3.875981,-0.7530,1.7831,-0.6084,2.029
3.896109,-0.2838,1.9838,-0.6682,2.112
3.913439,0.4066,1.5106,0.0077,1.564
3.931191,1.3084,0.6843,1.4247,2.052
3.949074,1.6365,0.1171,1.9309,2.534
3.966929,1.0027,-0.2172,1.3160,1.669
3.985431,0.3860,-0.0816,0.7344,0.834
4.003567,0.1778,0.0296,0.5326,0.562
4.022262,0.1480,0.1025,0.4651,0.499
4.040267,0.1649,-0.2050,0.3553,0.442
4.058962,0.2365,-0.6657,0.3436,0.786
4.076845,0.2293,-1.0677,0.1787,1.107
4.095676,-0.0449,-1.3416,-0.4739,1.424
4.113364,0.2312,-1.3582,-1.1145,1.772
4.132183,0.8566,-1.1329,-0.9832,1.727
4.150067,0.6750,-1.3666,-0.9436,1.793
4.168341,0.5109,-1.5407,-0.8589,1.836
4.186423,0.6535,-1.3342,-0.6508,1.622
4.205645,0.5809,-1.0500,-0.5289,1.311
4.224474,0.2824,-0.9760,-0.5092,1.137
4.241717,0.1895,-0.8711,-0.2138,0.917
4.259909,0.3981,-0.8275,0.1718,0.934
4.278661,0.7515,-0.6376,0.0990,0.990
4.296082,1.0127,-0.3196,-0.3565,1.120
4.315546,1.0890,0.0129,-0.6653,1.276
4.332961,1.1013,0.2675,-0.6650,1.314
4.351719,1.0536,0.4884,-0.5678,1.293
4.370293,0.6165,0.5886,-0.4871,0.982
4.388229,0.2491,0.7789,-0.2303,0.850
4.406515,0.2188,0.9682,0.1566,1.005
4.424682,0.1800,1.2437,0.1621,1.267
4.443083,0.1425,1.5329,-0.1203,1.544
4.466290,0.0385,1.8350,-0.3459,1.868
4.487355,-0.0094,2.0695,-0.3919,2.106
4.497492,0.1343,1.9358,-0.2898,1.962
4.515761,0.6604,1.1460,0.4607,1.401
4.534333,0.8841,0.0721,1.2910,1.566
4.552454,0.2287,-0.5935,1.2152,1.372
4.570840,-0.5014,-0.4237,0.4998,0.825
4.589526,-0.9307,-0.1441,0.1083,0.948
4.607597,-1.0427,-0.0367,0.3178,1.091
4.625825,-0.6696,-0.1173,0.7352,1.001
4.644242,-0.3747,-0.2034,0.7494,0.862
4.663593,-0.2574,-0.3291,0.4614,0.622
4.684366,-0.0699,-0.3184,0.1109,0.344
4.700168,0.1904,-0.2770,-0.2980,0.449
4.718357,0.3676,-0.4420,-0.5589,0.802
4.735433,0.4153,-0.8489,-0.3160,0.996
4.754234,0.3896,-1.1577,0.1448,1.230
4.772513,0.2443,-1.2802,0.1765,1.315
4.791171,0.1401,-1.1899,-0.2844,1.231
4.808917,0.0830,-0.9851,-0.8806,1.324
4.827739,0.0121,-0.8933,-1.1627,1.466
4.845739,-0.0454,-1.0472,-0.9706,1.429
4.867772,0.0116,-1.1037,-0.4452,1.190
4.882532,-0.0288,-1.1035,-0.1185,1.110
4.900605,-0.2062,-1.0309,-0.1832,1.067
4.918814,-0.4609,-0.8975,-0.4189,1.092
4.936983,-0.6345,-0.6840,-0.4764,1.048
4.955504,-0.5779,-0.3385,-0.2986,0.733
4.974014,-0.5693,0.0250,-0.1949,0.602
4.992282,-0.4943,0.4579,-0.3828,0.775
5.009874,-0.2082,0.8043,-0.6168,1.035
5.029291,0.0036,1.0283,-0.6310,1.206
5.048395,-0.1862,1.2176,-0.5454,1.347
5.065962,-0.6475,1.3721,-0.4620,1.586
5.083498,-0.9111,1.7101,-0.7531,2.079
5.101568,-0.9329,1.9966,-1.0309,2.433
5.120014,-0.5309,2.0564,-0.8323,2.281
5.138075,0.2795,1.6951,0.0793,1.720
5.156326,1.2174,0.9385,1.2262,1.966
5.175035,2.0346,0.0063,2.2032,2.999
5.193130,1.9872,-0.5669,2.5283,3.265
5.211399,1.3246,-0.6536,2.1403,2.601
5.230942,0.4487,-0.4011,1.2773,1.412
5.248477,-0.2793,-0.2815,0.3639,0.538
5.266654,-0.5494,-0.2743,-0.0400,0.615
5.284613,-0.4347,-0.3437,-0.1259,0.568
5.303149,-0.2857,-0.5868,-0.1990,0.682
5.321410,-0.2054,-0.8772,-0.3321,0.960
5.339680,0.0272,-0.9522,-0.3448,1.013
5.357888,0.2714,-0.8608,-0.3853,0.981
5.377211,0.4006,-0.8872,-0.4880,1.089
5.394629,0.4915,-0.9527,-0.5486,1.204
5.414780,0.5506,-0.8752,-0.6600,1.227
5.431190,0.5734,-1.0124,-0.7609,1.390
5.449663,0.3914,-1.1055,-0.8181,1.430
5.467735,0.3781,-1.1488,-0.6098,1.354
5.486194,0.5230,-1.0727,-0.4049,1.260
