time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004724,0.0781,0.1761,0.0458,0.198
0.023353,0.1786,0.1636,-0.2098,0.320
0.047494,0.2141,0.1200,-0.4176,0.484
0.060120,0.2952,0.0889,-0.5878,0.664
0.077927,0.3575,0.0132,-0.6340,0.728
0.096060,-0.5644,0.2184,-0.2436,0.652
0.115015,-0.1577,-0.1721,0.1674,0.287
0.132607,0.1792,0.0474,0.1117,0.216
0.151218,-0.0368,0.0755,0.0971,0.128
0.169308,0.3276,0.0116,0.2274,0.399
0.187918,0.1798,0.0178,0.2995,0.350
0.206324,0.2210,0.0562,0.3330,0.404
0.224526,0.3434,0.2364,-0.0373,0.419
0.242336,0.4073,0.2819,-0.2459,0.553
0.261384,0.4365,0.1491,-0.2077,0.506
0.278984,0.3313,0.1397,-0.2016,0.412
0.297656,0.1480,0.1812,-0.1584,0.283
0.315604,0.1526,0.1963,-0.2304,0.339
0.333854,0.4279,0.1749,-0.4299,0.631
0.352110,0.6163,0.1572,-0.4814,0.798
0.371189,0.4891,0.2309,-0.4244,0.688
0.388799,0.2983,0.3058,-0.0573,0.431
0.407481,-0.0793,0.3401,0.3046,0.463
0.426514,-0.2454,0.3961,0.4501,0.648
0.445389,-0.0468,0.3342,0.2619,0.427
0.463157,0.1449,0.3634,-0.0317,0.392
0.480659,0.2686,0.2207,-0.0766,0.356
0.498721,0.2165,0.1363,0.0698,0.265
0.517697,0.1058,0.1606,0.0204,0.193
0.535803,-0.0127,0.1812,-0.0713,0.195
0.553897,-0.1251,0.2658,-0.2484,0.385
0.572409,-0.3144,0.2810,-0.3135,0.525
0.591036,-0.3885,0.1690,-0.3598,0.556
0.608655,-0.6224,0.1085,-1.0451,1.221
0.627021,0.9552,0.0402,-0.0596,0.958
0.644661,-0.1042,0.1968,-0.1438,0.265
0.663341,-0.4725,0.5623,-0.3811,0.827
0.681222,-0.5689,0.4775,-0.0816,0.747
0.700025,-0.7637,0.6507,-0.1967,1.022
0.718107,-0.6875,0.8497,-0.3005,1.134
0.736682,-0.6011,1.0076,-0.4011,1.240
0.754977,-0.1691,0.7319,-0.2503,0.792
0.773866,0.2297,1.1075,-0.1406,1.140
0.791446,0.0707,0.9761,-0.0774,0.982
0.811221,0.5039,0.7456,0.4298,0.997
0.828444,0.2404,1.0358,0.2662,1.096
0.846406,-0.0774,1.1013,0.3229,1.150
0.864566,-0.1457,1.2788,0.0593,1.288
0.884028,0.0877,1.2145,-0.0741,1.220
0.962399,0.3429,1.0763,-0.2420,1.155
0.981174,-0.1066,1.1824,-0.2705,1.218
0.997004,-0.6214,1.1890,-0.2368,1.362
1.015720,-0.8717,1.1952,-0.1122,1.484
1.034216,-0.9642,1.1990,-0.0698,1.540
1.052550,-0.9087,1.3279,-0.2182,1.624
1.071018,-0.8236,1.5120,-0.3849,1.764
1.088669,-0.7533,1.5599,-0.2127,1.745
1.107474,-0.6821,1.4497,0.1690,1.611
1.125037,-0.6486,1.2190,0.6271,1.517
1.144293,-0.5304,1.1310,0.7889,1.477
1.163217,-0.3886,1.1684,0.6118,1.375
1.180379,-0.4609,1.1711,0.3958,1.319
1.198552,-0.3687,1.0515,0.3563,1.170
1.217026,-0.2382,0.9894,0.3844,1.088
1.235015,-0.2332,1.1081,0.2986,1.171
1.254234,-0.4085,1.3223,0.2996,1.416
1.272734,-0.5452,1.3644,0.2375,1.488
1.292276,-0.2657,1.0819,0.3512,1.168
1.309274,-0.2526,0.7503,0.7953,1.122
1.327735,-0.6849,0.5350,1.1058,1.407
1.345236,-1.2021,0.8132,1.0557,1.795
1.363240,-1.3729,0.9132,0.5775,1.747
1.381966,-0.4135,0.4493,0.3255,0.692
1.400931,0.9078,-0.5493,0.7444,1.296
1.413627,0.6367,-1.0047,0.9099,1.498
1.431917,0.4793,-1.4467,0.7263,1.688
1.450322,1.0267,-1.2690,-0.1466,1.639
1.468653,1.0859,-0.9183,-1.5182,2.080
1.486891,1.0732,-0.6653,-2.0076,2.372
1.505966,0.5924,-0.3701,-1.8280,1.957
1.525130,0.1485,-0.4335,-1.2437,1.325
1.541919,-0.0064,-0.4482,-0.7598,0.882
1.560347,0.1209,-0.3224,-0.6277,0.716
1.579517,0.1314,-0.1083,-0.6154,0.639
1.596982,-0.3939,-0.0133,-0.6553,0.765
1.615155,-0.6498,0.0311,-0.6979,0.954
1.632975,-0.2542,0.0178,-0.8052,0.845
1.651415,0.2809,0.0252,-0.9552,0.996
1.669789,0.7022,-0.0212,-0.7369,1.018
1.688697,0.7478,0.1267,-0.4956,0.906
1.707201,0.6332,0.2885,-0.2956,0.756
1.724777,0.5050,0.3112,0.0501,0.595
1.742724,0.2662,0.2582,0.4061,0.550
1.761355,0.0318,0.2679,0.4821,0.552
1.779761,-0.0274,0.3230,0.3103,0.449
1.798062,-0.0319,0.4385,0.0287,0.441
1.816614,-0.2279,0.5173,-0.0064,0.565
1.834479,-0.4339,0.5345,0.0819,0.693
1.853864,-0.4196,0.5283,-0.0455,0.676
1.872095,-0.2606,0.5309,-0.2088,0.627
1.890742,-0.0221,0.6632,-0.2923,0.725
1.908634,-0.0345,0.7723,-0.1085,0.781
1.928048,0.0249,0.7542,0.1984,0.780
1.944761,0.2702,0.6198,0.3273,0.751
1.963927,0.6487,0.5164,0.3211,0.889
1.980811,0.9472,0.5696,0.1528,1.116
1.999655,0.9099,0.8540,-0.1780,1.261
2.017572,0.6208,1.1712,-0.3496,1.371
2.037926,0.2295,0.9572,-0.0605,0.986
2.054213,-0.1042,1.3096,0.2975,1.347
2.074342,-0.8991,1.4982,0.0373,1.748
2.090889,-0.2162,0.9847,-0.1757,1.023
2.110636,1.4704,0.6881,0.4090,1.674
2.127180,1.1903,-0.0367,1.2875,1.754
2.145341,-0.2867,-0.9307,2.6836,2.855
2.163883,-1.3644,-1.0754,2.8909,3.373
2.182342,-1.4654,-0.7095,1.7505,2.391
2.201249,-1.2645,-0.6436,0.3377,1.459
2.220204,-0.8418,-0.9919,-0.7136,1.484
2.237236,0.0166,-1.3776,-1.4646,2.011
2.256252,0.7492,-1.5252,-2.0069,2.630
2.276442,0.8680,-1.3849,-2.2231,2.759
2.292728,0.3065,-1.1474,-1.8969,2.238
2.310378,-0.3229,-1.0218,-1.3019,1.686
2.328725,-0.4126,-0.8913,-0.9269,1.350
2.346646,-0.3614,-0.5718,-0.6932,0.969
2.365125,-0.2991,-0.2649,-0.3857,0.555
2.384115,-0.4894,-0.0717,0.1035,0.505
2.401957,-0.7857,0.0641,0.5200,0.944
2.420981,-0.9313,0.1860,0.8015,1.243
2.440103,-0.9030,0.2361,0.7793,1.216
2.457874,-0.5624,0.2936,0.3263,0.713
2.475147,-0.2006,0.3334,-0.1748,0.427
2.492969,0.0605,0.3493,-0.5456,0.651
2.511786,0.1890,0.3576,-0.8322,0.925
2.529925,0.0956,0.4085,-1.0233,1.106
2.548527,-0.1413,0.4868,-0.9622,1.088
2.566265,-0.3324,0.6535,-0.9936,1.235
2.584670,-0.4334,0.7595,-1.0091,1.335
2.603140,-0.4774,0.7960,-0.8300,1.245
2.621515,-0.4000,0.7665,-0.4499,0.975
2.639697,-0.3161,0.7257,-0.0655,0.794
2.658572,-0.3853,0.7498,0.3208,0.902
2.676601,-0.4195,0.6480,0.5090,0.925
2.695321,-0.0719,0.2431,0.9358,0.970
2.713121,-0.4549,0.8218,0.5833,1.106
2.731232,-0.8134,0.4923,0.7777,1.228
2.749165,-1.0128,0.7040,0.8143,1.478
2.767412,-1.4066,0.7913,0.8094,1.805
2.785633,-1.8585,1.1361,0.7348,2.299
2.804832,-1.7780,0.8731,0.5182,2.048
2.824407,0.0178,0.4148,1.2401,1.308
2.841441,-0.1001,0.3806,1.3365,1.393
2.858854,-1.2669,0.2545,2.2553,2.599
2.879840,-2.2179,-0.0176,2.6227,3.435
2.896690,-1.7217,-0.2438,2.3185,2.898
2.914349,-0.8660,-0.6042,1.2606,1.644
2.932841,-0.1718,-1.1641,0.5794,1.312
2.950695,0.1333,-1.2913,-0.5087,1.394
2.968889,0.4871,-1.4900,-1.5937,2.235
2.987333,1.0088,-1.6290,-2.3904,3.064
3.006779,1.5303,-1.4675,-2.8355,3.541
3.026353,1.3868,-1.3079,-2.6758,3.285
3.042150,0.5629,-1.2956,-2.0312,2.474
3.060834,-0.0846,-1.2425,-1.4171,1.887
3.078467,-0.6350,-1.0290,-1.0886,1.627
3.097868,-1.0918,-0.7118,-0.7421,1.500
3.115775,-1.4939,-0.4012,-0.3024,1.576
3.133919,-1.8273,-0.1890,0.1706,1.845
3.152714,-1.8596,-0.1562,0.5701,1.951
3.170414,-1.4759,-0.2872,0.5827,1.613
3.192441,-0.5658,-0.4338,0.2527,0.756
3.206750,0.2675,-0.4139,-0.1376,0.512
3.225121,0.6503,-0.3688,-0.3336,0.819
3.243871,0.6281,-0.2959,-0.4693,0.838
3.261697,0.5340,-0.1668,-0.4180,0.698
3.279856,0.3381,-0.1423,-0.2834,0.464
3.298077,-0.0087,0.0340,-0.2180,0.221
3.317260,-0.6430,0.2477,-0.0938,0.695
3.334897,-1.2135,0.4039,0.0505,1.280
3.352910,-1.3321,-0.0759,0.2997,1.367
3.372032,-1.2680,0.5781,0.0559,1.395
3.390638,-1.3632,0.2944,-0.1064,1.399
3.408826,-0.9642,0.2177,0.0668,0.991
