time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001540,0.4831,-0.1144,-0.8545,0.988
0.009746,0.5283,0.3071,-1.2947,1.432
0.019655,-0.3138,0.5965,-1.1790,1.358
0.036497,-0.9420,0.7603,-0.7758,1.438
0.038425,-0.9676,0.7774,-0.5360,1.352
0.049204,-0.8494,0.6390,-0.1920,1.080
0.059442,-0.9044,0.5038,0.2556,1.066
0.071055,-0.7969,0.3915,0.4285,0.986
0.078223,-0.5293,0.2450,0.2404,0.631
0.089266,-0.3101,0.1413,-0.1455,0.371
0.104290,-0.1067,0.0869,-0.5227,0.541
0.108630,-0.0774,0.0713,-0.6726,0.681
0.118124,-0.2753,0.1238,-0.5813,0.655
0.130508,-0.4152,0.1861,-0.4038,0.608
0.138304,-0.4493,0.2071,-0.4364,0.660
0.153527,-0.5086,0.2467,-0.5020,0.756
0.158040,-0.5096,0.2675,-0.3908,0.696
0.168661,-0.4601,0.2242,-0.2421,0.566
0.188149,-0.3697,0.1210,-0.2253,0.450
0.188596,-0.3211,0.1061,-0.3088,0.458
0.198419,-0.2817,0.1680,-0.4738,0.576
0.209361,-0.2628,0.2352,-0.6011,0.697
0.218717,-0.2833,0.2507,-0.6216,0.728
0.230666,-0.2687,0.2195,-0.5285,0.632
0.238897,-0.1786,0.1126,-0.3693,0.425
0.254178,-0.0019,-0.0419,-0.3616,0.364
0.258096,0.1174,-0.1912,-0.4117,0.469
0.268821,0.1488,-0.3021,-0.2726,0.433
0.294396,0.2210,-0.3395,-0.0967,0.417
0.294921,0.3400,-0.2832,-0.1171,0.458
0.298334,0.5862,-0.1219,-0.4242,0.734
0.309214,0.8952,0.0217,-0.8931,1.265
0.322461,1.1556,0.1766,-1.3664,1.798
0.338348,1.3244,0.3098,-1.6633,2.149
0.339017,1.1916,0.3832,-1.3865,1.868
0.355483,0.2896,0.6284,-0.3749,0.787
0.358765,0.2071,0.6405,0.1242,0.685
0.371088,0.4730,0.6140,0.0373,0.776
0.406858,0.7582,0.5668,0.1563,0.960
0.407229,0.5818,0.5657,0.0361,0.812
0.407468,0.4911,0.7175,-0.0157,0.870
0.408744,0.7556,0.8101,0.0599,1.109
0.417864,0.8565,0.8540,0.2218,1.230
0.428649,1.0679,0.7657,0.4343,1.384
0.438769,0.9089,0.8251,0.8547,1.496
0.450065,0.6334,0.8656,1.6705,1.985
0.458936,0.5140,0.6922,2.6626,2.799
0.474178,0.2979,0.4749,3.6598,3.702
0.478631,-0.1691,0.2616,4.8221,4.832
0.489391,-0.7804,0.2533,6.4046,6.457
0.512092,-0.8338,-0.1277,7.8582,7.903
0.512644,-0.3869,-1.1529,7.8186,7.913
0.518659,-0.1960,-1.8724,6.4311,6.701
0.532838,-0.5571,-1.8148,4.9118,5.266
0.538477,-0.6420,-1.4839,2.9612,3.374
0.552598,-0.0471,-1.3474,0.7204,1.529
0.557567,0.3247,-1.5208,-0.6408,1.682
0.568590,0.5441,-1.8129,-1.2527,2.270
0.593114,1.1697,-2.1453,-1.6545,2.951
0.593762,1.6185,-2.9891,-2.1957,4.047
0.598686,1.8069,-3.9214,-2.5268,5.003
0.609163,1.6777,-4.5759,-2.5532,5.502
0.618966,0.7501,-4.7548,-2.7024,5.520
0.629630,-0.9179,-4.1540,-3.0317,5.224
0.638493,-1.6590,-3.4377,-3.2624,5.021
0.648808,-1.3336,-3.3404,-3.8721,5.285
0.658052,-0.2341,-3.7464,-4.3695,5.760
0.670370,1.1984,-4.5314,-4.0944,6.224
0.681127,1.7823,-5.5366,-2.9616,6.527
0.688366,1.2212,-5.8050,-1.4241,6.101
0.704478,0.1155,-5.3788,-0.6007,5.413
0.708678,-0.3592,-5.1249,-0.9668,5.228
0.717310,-0.1098,-4.8456,-2.7640,5.580
0.729184,0.7717,-4.6010,-5.3213,7.077
0.738130,1.5918,-5.0305,-8.1503,9.709
0.748853,2.6149,-5.2156,-9.7390,11.353
0.758579,3.9179,-5.2665,-11.1695,12.955
0.772637,4.6218,-5.8476,-11.4711,13.680
0.777374,2.4310,-4.5541,-4.4715,6.830
0.788691,0.5968,-2.3132,2.2206,3.262
0.805531,0.1970,-0.1108,4.6512,4.657
0.807491,-0.0654,2.6482,4.1541,4.927
0.816853,-0.8442,5.4002,1.0672,5.569
0.828517,-2.2316,6.8533,-4.5791,8.539
0.837185,-2.9454,6.9275,-5.3786,9.252
0.857632,-3.4052,6.3772,-0.4079,7.241
0.858325,-4.4640,4.3317,0.3989,6.233
0.868266,-3.9529,2.0727,-1.4681,4.699
0.876981,-2.6961,0.9847,-1.8410,3.410
0.894497,-1.3511,0.5585,-0.9021,1.718
0.896673,0.3343,0.9178,-0.1797,0.993
0.907788,1.7135,1.6636,-0.3580,2.415
0.917860,2.3930,2.2682,-0.0180,3.297
0.928705,1.8497,2.3445,1.0459,3.164
0.938044,0.1783,2.6196,2.2244,3.441
0.950332,-1.0697,2.6281,2.0806,3.519
0.957369,-1.5872,2.6421,0.5275,3.127
0.977594,-1.5905,2.5027,-0.8596,3.087
0.978108,-1.6806,2.0350,-1.4315,3.002
0.988151,-2.0522,1.7086,-1.0799,2.880
0.997334,-1.9524,1.2574,-0.6910,2.423
1.008823,-1.3317,0.1180,-0.4058,1.397
1.016686,-0.7803,-0.2093,-0.0881,0.813
1.027630,-0.7097,0.2284,-0.1981,0.771
1.036959,-0.6604,-0.0929,-0.1162,0.677
1.050617,-0.6044,-0.8430,0.1642,1.050
1.056357,-0.6946,-1.4710,0.4575,1.690
1.077441,-0.8939,-1.9365,0.5783,2.210
1.078109,-1.1507,-2.4985,0.6228,2.820
1.087765,-0.5988,-3.5120,0.5171,3.600
1.095952,0.2350,-4.5478,0.0625,4.554
1.108465,0.8805,-5.0133,-0.2843,5.098
1.117101,1.2950,-5.1019,0.2028,5.268
1.128366,1.7392,-5.1866,0.1224,5.472
1.137526,1.8380,-5.0132,-0.4828,5.361
1.151580,1.0264,-4.1646,-0.4266,4.310
1.162652,-1.0161,-3.6161,-0.4765,3.786
1.182799,-2.5350,-3.4481,0.1653,4.283
1.183213,-0.0682,-1.7335,-0.7311,1.883
1.186513,0.9045,-0.3040,-1.3196,1.628
1.195955,0.3550,0.6924,-0.5879,0.975
1.206733,-0.0129,1.2862,0.4861,1.375
1.216437,0.3755,2.0887,1.1288,2.404
1.227761,0.6329,3.4464,1.2369,3.716
1.237208,0.9802,4.7566,1.4455,5.067
1.251535,1.2059,5.5879,1.2825,5.859
1.256188,1.8513,5.6146,0.0352,5.912
1.269605,2.0122,5.0740,0.0314,5.459
1.277013,1.6658,4.1898,-0.0336,4.509
1.287705,1.7635,2.5825,-0.4604,3.161
1.297760,1.5323,1.5202,-0.4910,2.214
1.307600,1.4892,1.3026,-0.6722,2.090
1.316237,2.1493,0.9864,-0.0680,2.366
1.327631,-0.9698,0.9985,-1.4900,2.039
1.337214,-2.1251,0.9524,0.7525,2.447
1.351785,-1.9305,1.9588,-0.6658,2.830
1.356427,-0.4887,2.7062,-1.1797,2.992
1.380454,0.5063,3.0742,-1.0152,3.277
1.380839,1.2923,2.2197,-0.5570,2.628
1.387262,1.2021,0.8092,-0.4485,1.517
