time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001072,0.6533,-0.2622,-0.0363,0.705
0.009650,0.4098,0.0635,-0.7215,0.832
0.019649,-0.1336,0.3026,-0.9809,1.035
0.030011,-0.5733,0.4925,-0.8345,1.126
0.042029,-0.7810,0.5835,-0.4490,1.073
0.049911,-0.8717,0.5365,-0.0341,1.024
0.060316,-0.8109,0.4483,0.2471,0.959
0.069741,-0.5449,0.3825,0.3683,0.761
0.080734,-0.2967,0.2928,0.3431,0.540
0.097173,-0.1392,0.2047,0.2018,0.319
0.100237,0.0247,0.1420,-0.0619,0.157
0.109783,0.2191,0.0905,-0.3912,0.457
0.120609,0.1841,0.0752,-0.5818,0.615
0.129517,-0.1500,0.1493,-0.5843,0.621
0.139790,-0.2187,0.1835,-0.5044,0.580
0.149588,-0.0809,0.0794,-0.3682,0.385
0.162814,-0.0785,-0.0482,-0.1801,0.202
0.170295,-0.1209,-0.0870,-0.0619,0.161
0.181024,-0.1229,-0.0727,-0.1886,0.237
0.196701,-0.2428,-0.0386,-0.2304,0.337
0.200865,-0.3106,0.0084,0.0135,0.311
0.209402,-0.2274,-0.0058,-0.0418,0.231
0.220440,-0.3454,-0.0496,-0.1216,0.370
0.230239,-0.5432,-0.0559,0.1141,0.558
0.240631,-1.0331,0.1534,1.2001,1.591
0.249793,-0.1207,-0.3785,0.1052,0.411
0.260280,0.4848,-0.6429,-0.0972,0.811
0.270217,0.6544,-0.6671,-0.1405,0.945
0.280546,0.3219,-0.6405,-0.3860,0.814
0.300550,0.3008,-0.5161,0.2174,0.636
0.301197,0.2151,-0.3957,0.3901,0.596
0.310084,-0.0648,-0.2465,0.3639,0.444
0.320036,-0.1271,-0.1455,0.1804,0.264
0.329715,-0.0883,-0.1032,-0.0814,0.158
0.340838,-0.1504,-0.0282,-0.1654,0.225
0.351535,-0.3262,0.0885,-0.1376,0.365
0.360311,-0.5513,0.1551,0.1812,0.601
0.370134,-0.8237,0.2052,1.2669,1.525
0.381030,-0.9693,0.3379,3.3002,3.456
0.397383,-1.4878,0.2949,4.6916,4.931
0.400432,-1.6363,0.2873,5.8082,6.041
0.409391,-1.2332,0.0303,7.1275,7.233
0.420330,-0.9245,0.0080,8.5331,8.583
0.430045,-0.2581,-0.4871,9.5931,9.609
0.442199,0.4707,-1.0520,10.4343,10.498
0.450070,0.7730,-1.5285,10.1907,10.334
0.461426,0.6526,-2.0474,8.8174,9.075
0.470730,0.3069,-2.3631,6.9644,7.361
0.481032,0.2375,-2.6284,4.9130,5.577
0.489994,0.0200,-2.6536,2.5086,3.652
0.501686,-0.1723,-2.4312,0.3440,2.461
0.511877,-0.2823,-2.2651,-1.4243,2.691
0.521009,-0.8112,-2.0271,-2.6429,3.428
0.529281,-1.3911,-1.8991,-3.2656,4.026
0.540279,-1.5768,-2.2151,-3.8925,4.748
0.550779,-1.3616,-2.8300,-4.3609,5.374
0.559990,-1.4602,-3.0185,-4.9648,5.991
0.570167,-1.7603,-2.6798,-5.8239,6.648
0.580359,-1.8960,-2.2308,-6.8000,7.403
0.590114,-1.6813,-1.7956,-7.9742,8.345
0.601016,-0.7292,-1.7871,-8.6388,8.852
0.610096,-0.5604,-1.9581,-8.6692,8.905
0.620048,-0.4201,-2.8522,-9.5019,9.930
0.630259,-0.2814,-3.6530,-11.9922,12.539
0.640302,0.4867,-3.3912,-11.9697,12.450
0.651263,1.4931,-2.0601,-9.1587,9.506
0.662496,2.1580,-0.6481,-6.0873,6.491
0.670094,2.5303,-0.0496,-3.3221,4.176
0.683974,2.6976,0.0315,-0.5966,2.763
0.689191,2.3375,0.4732,1.6935,2.925
0.699586,1.7494,1.0133,2.9169,3.549
0.709168,1.2968,1.1728,3.2981,3.733
0.719228,0.7990,1.0067,2.8408,3.118
0.728928,-0.2257,0.5910,1.5411,1.666
0.740850,-0.8770,0.1523,-0.1517,0.903
0.749297,-0.8701,-0.0062,-3.9970,4.091
0.759201,-0.7199,0.2305,-9.9093,9.938
