time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003736,-1.4501,0.6148,-0.6351,1.698
0.022085,-1.2056,0.6101,-0.8853,1.615
0.040549,-1.4368,0.4237,-0.8563,1.725
0.060135,-1.3388,0.2616,-0.2386,1.385
0.077387,-0.5158,0.4219,0.6259,0.914
0.095540,0.6518,-1.4300,0.3837,1.618
0.113860,0.8468,-1.7299,-0.0810,1.928
0.131548,-0.6712,-0.9814,-0.3067,1.228
0.150575,-1.4112,0.5649,0.5272,1.609
0.168841,-1.1361,1.3366,1.0362,2.037
0.186887,-0.3186,0.0593,0.5901,0.673
0.205325,-0.1811,-0.2907,-0.0180,0.343
0.224039,-0.6738,0.4756,0.1943,0.847
0.242249,-0.7346,0.4770,-0.4225,0.972
0.260350,-2.6312,-0.6297,-2.4416,3.644
0.278318,-0.5604,-0.7467,-0.2389,0.964
0.296709,-0.2364,0.3852,1.1174,1.205
0.315254,-0.2707,0.9568,2.0454,2.274
0.333774,0.0359,0.1463,1.6507,1.658
0.351983,-0.3470,-0.6536,0.8544,1.130
0.369695,-0.2301,-0.3946,-0.1660,0.486
0.388212,-0.0751,-0.2381,-0.9701,1.002
0.406601,0.0353,-0.2339,-0.4479,0.507
0.425895,-0.4188,-1.1871,-0.8150,1.500
0.444346,-2.2956,-0.1576,6.7906,7.170
0.461396,1.1931,-0.5797,4.6739,4.858
0.479472,1.9936,1.1718,4.2133,4.806
0.498091,2.0905,3.5941,4.2540,5.948
0.516488,0.9252,-1.1679,5.0118,5.229
0.534609,5.6656,-2.6813,6.9128,9.331
0.553283,-1.2163,-1.3792,2.7127,3.277
0.571141,-4.2295,-3.4720,-4.3013,6.960
0.589355,-3.7741,-3.6319,-3.6285,6.372
0.608793,-2.4036,-3.7294,0.0375,4.437
0.627128,1.0484,-2.2369,0.7488,2.581
0.644542,2.5409,-0.3174,-0.4824,2.606
0.662389,0.9288,-1.1723,-2.0876,2.568
0.680758,-0.7584,-2.4082,-3.2791,4.139
0.699036,-2.1572,-2.7748,-4.2425,5.509
0.717745,-2.7604,-2.8090,-6.1789,7.327
0.735985,-2.1277,-2.5107,-5.9395,6.790
0.754049,-0.7936,-2.4824,-4.4196,5.131
0.772304,-0.2141,-1.8565,-3.6602,4.110
0.790874,0.2261,-1.1729,-2.9404,3.174
0.809789,-0.2093,-0.8224,-1.2842,1.539
0.827324,-0.5363,-0.3055,-0.1840,0.644
0.846402,-0.1720,0.5515,-0.0311,0.579
0.864165,-0.2584,0.8268,0.2087,0.891
0.881973,-0.4945,0.6398,0.5755,0.993
0.900652,-0.1946,0.3160,1.2109,1.267
0.918732,0.2369,0.0583,1.4211,1.442
0.937026,-0.3734,-0.2304,0.3077,0.536
0.955565,-0.9312,-0.4625,-2.0814,2.327
0.973468,0.3426,-0.1647,-3.0748,3.098
0.992831,1.5377,0.4830,-2.6677,3.117
1.010496,1.5178,0.9724,-2.0763,2.750
1.028644,0.8759,1.0525,-1.9477,2.381
1.047379,0.6204,1.2585,-1.8765,2.343
1.065119,0.4722,1.8672,-1.2102,2.275
1.083618,0.8904,2.1646,-0.0162,2.341
1.102085,1.4225,2.3196,0.6035,2.787
1.120258,0.9392,2.5635,0.2176,2.739
1.138937,-0.5504,3.0309,-1.1388,3.284
1.158253,-1.0918,3.7520,-2.2512,4.510
1.175232,-0.5423,4.5319,-1.7923,4.904
1.194783,0.3326,4.7270,0.2493,4.745
1.213797,1.0431,3.9903,1.9870,4.578
1.231778,0.4077,2.0350,2.3711,3.151
1.248787,-0.7775,0.1782,2.3242,2.457
1.267055,-2.5275,-0.6850,2.5989,3.689
1.285011,-2.3394,-2.7147,1.2430,3.793
1.302962,-2.8875,-2.1371,0.7641,3.673
1.322017,-1.2101,-0.9519,0.6428,1.668
1.340725,-0.6577,-0.3051,0.2303,0.761
1.359093,-0.1755,-0.9826,-0.6470,1.190
1.377332,-0.1292,-1.5334,-0.2611,1.561
1.394691,-0.2677,-2.3444,0.2438,2.372
1.413119,-0.6841,-2.9776,-0.0642,3.056
1.431173,-0.7624,-3.2391,-0.6603,3.393
1.449535,-0.7706,-3.2342,-0.7052,3.399
1.467799,-0.9746,-3.0983,-0.2236,3.256
1.486407,-0.8679,-2.7866,0.1916,2.925
1.504546,-0.7611,-2.3883,-0.2434,2.518
1.523085,-1.0452,-2.0787,-0.7819,2.455
1.540897,-1.0216,-1.5924,-0.4144,1.937
1.559636,-0.9685,-1.2074,0.0793,1.550
1.577923,-1.1709,-0.6073,-0.1376,1.326
1.596339,-0.8214,0.1752,-0.4678,0.961
1.614719,-0.8953,0.1149,-0.7545,1.176
1.632597,-0.6204,0.3462,-0.4008,0.816
1.650621,-0.6278,0.5520,0.1062,0.843
1.670178,-0.9093,0.7933,-0.0635,1.208
1.687295,-1.0255,0.8157,-0.4960,1.401
1.706120,-0.7591,0.8618,-0.6446,1.317
1.724156,-0.8589,0.9221,-0.5403,1.371
1.747520,-1.3089,1.1759,-1.0002,2.024
1.760624,-1.2946,2.1505,-1.7892,3.083
1.778615,-0.6329,3.2264,-1.5307,3.627
1.797080,-0.5084,3.8857,-0.0520,3.919
1.815654,-0.9800,4.4641,0.0578,4.571
1.833710,-1.0639,4.6748,0.1672,4.797
1.852266,-0.4968,4.3212,1.3642,4.559
1.871042,1.4903,3.3224,3.3294,4.934
1.888688,3.1541,1.6438,3.4758,4.973
1.906854,1.9334,0.0104,2.1131,2.864
1.925574,-0.2826,-1.7332,0.2056,1.768
1.944496,-1.3187,-1.8348,-0.0115,2.260
1.962604,-0.4581,-1.7296,1.0486,2.074
1.980149,0.5349,-1.3105,1.5614,2.108
1.998092,0.3350,-1.4608,0.0064,1.499
2.016656,-0.0566,-1.6627,-1.5250,2.257
2.035097,0.0012,-1.8137,-1.0690,2.105
2.053940,0.8591,-1.9213,0.2197,2.116
2.073092,0.8564,-2.5241,0.9269,2.822
2.091428,-0.0752,-3.3184,0.7611,3.405
2.109175,-1.4048,-3.7967,0.3635,4.065
2.128269,-1.8517,-4.3402,-0.8169,4.789
2.145082,-1.2204,-3.5859,-0.7784,3.867
2.163515,0.0266,-2.6846,0.5254,2.736
2.181481,-0.0301,-1.8139,0.4011,1.858
2.199448,-0.2615,-0.7990,-1.0777,1.367
2.217895,0.4304,0.4271,-1.9723,2.063
2.236375,0.6337,1.2859,-1.2234,1.885
2.255100,0.1246,1.5441,0.0397,1.550
2.273588,-0.1160,1.7783,0.5369,1.861
2.292370,0.3295,2.1095,-0.1883,2.143
2.309744,1.0190,2.1890,-1.4865,2.835
2.328411,0.8388,1.8592,-1.9361,2.812
2.347005,0.6027,1.8321,-1.5235,2.458
2.364681,0.6235,2.6414,-1.6366,3.169
2.382656,0.8910,3.5704,-2.2315,4.304
2.401227,1.1624,4.3626,-1.2049,4.673
2.419777,0.1057,4.6026,0.9730,4.706
2.437557,-0.6062,3.3555,2.4793,4.216
2.456344,-0.7610,1.0719,2.6434,2.952
2.475366,-1.5186,-0.9520,2.4432,3.030
2.492458,-2.2084,-1.9781,1.3541,3.259
2.511207,-2.9324,-2.0292,0.5419,3.607
2.529406,-2.3819,-2.1529,1.0073,3.365
2.547278,-1.8826,-1.4013,1.1148,2.598
2.566066,-0.9882,-0.9257,0.1502,1.362
2.583685,-0.4847,-0.5961,-0.6071,0.979
2.602477,-0.2441,-0.5399,-0.1186,0.604
2.620227,0.1155,-0.9264,0.2073,0.956
2.638766,0.4323,-1.6007,0.1802,1.668
2.657455,-0.1184,-2.4560,0.1714,2.465
2.675541,-0.9662,-3.2161,0.5522,3.403
2.694896,-1.3096,-3.5336,0.6779,3.829
2.712392,-1.2327,-3.3941,0.0634,3.612
2.730368,-1.0440,-2.9324,-0.2936,3.127
2.748769,-0.8116,-2.2561,-0.1469,2.402
2.767061,-1.0518,-1.3802,-0.1089,1.739
2.785222,-0.9793,-0.3672,-0.5091,1.163
2.803494,-0.4672,0.4762,-1.0159,1.215
2.821687,-0.2460,0.8669,-0.8571,1.244
2.840072,-0.3797,0.7456,0.2416,0.871
2.858603,-0.6282,0.5068,0.5208,0.961
2.877082,-1.0909,0.6389,-0.2159,1.283
2.895479,-1.3376,0.6293,-0.7317,1.649
2.913676,-1.5303,0.5080,-0.4557,1.676
2.931781,-0.8125,0.6451,-0.2852,1.076
2.950260,-0.6470,1.5363,-0.7056,1.810
2.968395,-1.7571,2.1163,-1.0328,2.938
2.986623,-1.8145,3.4600,-1.9376,4.361
3.005193,0.0493,5.2965,-1.0997,5.410
3.023273,2.0149,6.1590,1.5452,6.662
3.042177,1.8619,5.4647,2.0876,6.139
3.060455,0.9284,3.1155,1.0420,3.414
3.080705,0.8522,0.8180,0.4701,1.271
3.096926,1.2600,-0.5294,1.4629,2.002
3.114955,0.2315,-1.7468,2.0340,2.691
3.132723,-0.7619,-2.1096,1.5923,2.751
3.151762,-0.7785,-2.2868,1.0822,2.647
3.169985,-0.1125,-2.0271,0.4005,2.069
3.188473,0.9290,-1.5658,-0.1790,1.829
3.206654,1.3084,-1.1901,-0.6658,1.890
3.225169,0.9505,-1.3521,-1.1640,2.022
3.243182,0.8882,-1.8523,-0.5976,2.139
3.263444,1.0749,-2.2974,0.4135,2.570
3.279413,0.5514,-2.8069,0.9558,3.016
3.298112,-0.6037,-3.2746,0.8107,3.427
3.316193,-1.3861,-3.7588,0.1109,4.008
3.334770,-1.1106,-3.8741,-0.5700,4.070
3.352704,-0.3432,-3.3935,-0.9875,3.551
3.371312,-0.1880,-2.2097,-1.0018,2.433
3.389424,-0.5909,-1.2949,-0.4093,1.481
3.407536,-0.5950,-0.2304,-0.0600,0.641
3.426058,-0.0473,1.1458,-0.4629,1.237
3.445744,0.9799,2.2585,-0.6453,2.545
3.462986,1.5029,2.6211,0.0669,3.022
3.483339,1.1066,2.1487,0.1135,2.420
3.499118,0.9614,1.5342,-0.7708,1.968
3.517153,1.1999,1.4195,-1.7469,2.551
3.536146,1.2443,1.9750,-1.7845,2.938
3.553738,0.8500,2.7390,-0.9747,3.029
3.572312,0.1996,3.4667,0.4094,3.496
3.591288,-0.4718,4.2770,0.5855,4.343
3.608771,-0.6822,4.1911,0.5961,4.288
3.628969,-0.3430,3.3795,0.9027,3.515
3.647928,-0.4679,1.6096,1.6256,2.335
3.664240,-1.2377,-0.1860,1.8752,2.255
3.681954,-2.3754,-1.2604,1.4260,3.044
3.700130,-2.8227,-1.5376,1.2241,3.440
3.718818,-1.8560,-1.3072,1.5304,2.738
3.736716,-0.6480,-1.2197,0.9541,1.679
3.755900,-0.1357,-1.4306,-0.1889,1.449
3.773404,-0.3208,-1.8980,-0.9510,2.147
3.791829,-0.7840,-2.2428,-1.3233,2.720
3.810283,-0.5355,-2.3022,-0.8975,2.528
3.829121,-0.0296,-2.2856,-0.3396,2.311
3.846610,-0.1843,-2.6246,-0.3773,2.658
3.864730,-0.8800,-2.8820,-0.3950,3.039
3.883279,-1.6988,-3.0493,-0.1113,3.492
3.901308,-1.6313,-2.9085,0.4535,3.365
3.919911,-1.2652,-2.1391,0.3831,2.515
3.938116,-0.9664,-1.0737,0.0819,1.447
3.957117,-0.7657,-0.3741,-0.0694,0.855
3.975468,-0.4271,0.2102,-0.6305,0.790
3.994038,-0.2171,0.7612,-1.2181,1.453
4.013043,-0.4758,1.2578,-0.6420,1.490
4.030024,-0.9343,1.3034,0.2964,1.631
4.048559,-1.2893,1.0537,0.4036,1.713
4.066090,-1.1516,1.2277,-0.6890,1.819
4.084513,-0.9477,2.0281,-1.4541,2.669
4.102786,-0.8315,2.4721,-0.7961,2.727
4.121280,-0.0758,2.4333,0.8478,2.578
4.139355,-0.0161,2.5431,-0.2082,2.552
4.157715,-0.7360,2.9566,-0.9748,3.199
4.176670,-1.4230,3.1649,0.4339,3.497
4.194851,-0.5846,3.6762,0.9848,3.850
4.213059,1.0674,3.5374,1.2229,3.892
4.231447,1.2636,1.9609,1.5035,2.775
4.249825,0.5869,0.1902,1.1436,1.299
4.267269,0.2119,-0.8170,1.1279,1.409
4.285770,0.5016,-1.1124,1.5802,1.997
4.304377,0.2665,-1.3204,1.3768,1.926
4.322279,0.1097,-1.6793,1.2772,2.113
4.340938,0.2362,-1.8765,1.2355,2.259
4.359164,0.6099,-1.7004,0.7898,1.972
4.377997,1.1864,-1.2614,0.1640,1.739
4.397342,1.3400,-1.1441,-0.3580,1.798
4.414217,0.8880,-1.4963,-0.4998,1.810
4.432768,0.2912,-2.0751,-0.3474,2.124
4.450805,-0.1498,-2.5509,-0.0030,2.555
4.469047,-0.0241,-2.8037,0.2979,2.820
4.488054,0.0652,-2.9590,-0.1946,2.966
4.505522,-0.4565,-3.1897,-0.7247,3.303
4.524438,-0.6379,-3.0748,-0.4326,3.170
4.542049,-0.3124,-2.5991,0.0412,2.618
4.560535,0.1860,-1.7739,-0.4287,1.834
4.581994,0.3441,-0.9370,-1.4980,1.800
4.597288,0.2456,-0.1992,-1.5588,1.591
4.615506,0.1557,0.4618,-0.5928,0.767
4.633393,0.4085,1.2181,0.3421,1.330
4.651614,1.1756,1.7306,0.6744,2.198
4.670936,1.2320,1.9913,-0.3464,2.367
4.688699,0.9850,1.6675,-1.7850,2.634
4.707431,0.8248,1.6535,-1.8659,2.626
4.725024,1.3112,2.2706,-0.5131,2.672
4.743232,1.9273,3.2744,-0.3034,3.812
4.761893,1.5749,3.6645,-0.5648,4.028
4.781041,0.5527,3.8695,-0.2873,3.919
4.799756,-1.1459,3.9517,-0.2913,4.125
4.816663,-1.1633,3.7582,1.4553,4.195
4.834784,0.0269,2.6132,3.2772,4.192
4.852884,0.1722,0.9054,2.7054,2.858
4.872012,-1.0288,-0.8256,1.2112,1.791
4.889670,-2.5441,-1.6459,0.3436,3.049
4.907973,-2.9146,-1.2260,0.4809,3.198
4.926654,-2.0459,-0.5380,1.3720,2.521
4.945824,-1.0139,-0.2688,0.8922,1.377
4.963906,-0.4872,-0.6985,-0.2787,0.896
4.981369,-0.3410,-1.2941,-0.4971,1.428
5.000108,0.2531,-1.5774,0.0002,1.598
5.018032,0.6542,-2.0094,0.2499,2.128
5.036485,0.2573,-2.7382,-0.0268,2.750
5.054562,-0.9730,-3.5927,-0.7258,3.792
5.072851,-1.6869,-3.8458,-0.6079,4.243
5.090904,-1.2893,-3.4078,0.7424,3.718
5.109521,-0.7309,-2.6873,1.2051,3.035
5.127861,-0.5786,-1.9773,-0.0353,2.060
5.147720,-0.6408,-1.3727,-1.0788,1.860
5.164144,-0.8523,-0.6338,-1.1501,1.565
5.182915,-0.8763,0.2469,-0.2345,0.940
5.201363,-0.6317,0.8157,0.5402,1.165
5.218788,-0.4575,1.1037,0.1772,1.208
5.237107,-0.6319,1.0283,-0.9822,1.556
5.253232,-0.8472,0.5667,-1.1050,1.503
5.312798,-1.0826,0.9763,0.4174,1.516
5.331125,-1.3625,1.1264,-0.3012,1.793
5.349366,-1.3420,1.1860,-0.6495,1.905
5.367352,-0.5047,1.8446,-0.7800,2.065
5.385389,0.1948,3.0274,-1.5792,3.420
5.404317,0.0199,3.7721,0.1519,3.775
5.422424,-0.9079,4.2191,1.0821,4.449
5.441695,-0.6784,4.2067,0.3201,4.273
5.459735,1.1784,3.2482,1.0253,3.604
5.477530,1.8534,1.3399,1.6371,2.813
5.497099,0.7710,-0.3383,1.2467,1.504
5.511558,-1.1702,-0.9554,0.9959,1.809
5.531125,-0.1725,-0.9043,1.2095,1.520
5.548518,1.0191,-0.8041,1.3616,1.881
5.566884,1.2384,-1.2103,1.0099,2.005
5.585074,0.7645,-1.7848,0.5262,2.012
5.603692,0.3859,-2.1960,0.1505,2.235
5.621788,0.4159,-2.3276,-0.0877,2.366
5.639851,0.4974,-2.5986,-0.1671,2.651
5.659743,0.3627,-3.0133,0.0778,3.036
5.676832,0.2117,-3.2390,0.3050,3.260
5.695079,0.2054,-3.4525,0.1354,3.461
5.713574,0.0321,-3.2716,-0.2022,3.278
5.731747,0.0161,-2.8877,-0.5631,2.942
5.749850,-0.0007,-2.3083,-0.7112,2.415
5.768095,0.1031,-1.6071,-0.6445,1.735
5.786268,-0.0719,-1.1651,-0.9179,1.485
5.804625,-0.3429,-0.8303,-1.0132,1.354
5.823114,-0.0697,-0.5629,-0.9546,1.110
5.841823,0.6604,0.1966,-1.0927,1.292
5.860045,0.5814,0.7448,-1.5318,1.800
5.879195,0.0674,0.8419,-0.7301,1.116
5.897741,0.4812,0.8022,1.0144,1.380
5.915652,1.1636,1.2467,1.0452,2.000
5.933911,0.4081,1.7919,-0.6417,1.947
5.951241,-0.3125,2.2942,-1.2668,2.639
5.969174,0.9988,2.7513,-0.8829,3.057
5.988010,2.2434,3.3925,-0.9883,4.186
6.007197,1.3571,3.5884,-1.2839,4.046
6.025113,-0.8233,3.9028,-1.6260,4.307
6.043885,-1.5210,4.2301,-1.3560,4.695
6.061946,-0.1244,4.5971,0.1415,4.601
6.080336,0.4578,3.7389,0.6243,3.818
6.098253,-0.4443,1.7879,0.9394,2.068
6.115666,-1.7895,-0.1663,1.3512,2.248
6.134401,-2.0555,-1.3413,2.7948,3.720
6.152196,-2.1402,-1.5493,3.2233,4.168
6.170752,-2.4025,-1.2025,1.4767,3.066
6.189543,-2.0638,-0.6564,0.0974,2.168
6.207478,-1.0633,-0.3635,0.2807,1.158
6.225471,-0.3374,-0.6044,0.3890,0.794
6.244672,-0.0349,-1.1527,0.1496,1.163
6.262407,-0.4207,-1.7558,-0.5223,1.880
6.283059,-0.7169,-2.4703,-0.8929,2.723
6.301357,-0.6602,-3.0679,-0.5918,3.193
6.317050,-0.7477,-3.4395,-0.2579,3.529
6.335852,-0.9991,-3.4824,-0.0634,3.623
6.354143,-0.9589,-2.8212,0.1155,2.982
6.372078,-0.6394,-2.3020,-0.0705,2.390
6.391374,-0.2657,-2.2339,-0.1178,2.253
6.411870,-0.2556,-1.9328,0.1892,1.959
6.427755,-0.4960,-1.5989,0.0820,1.676
6.445291,-0.9020,-1.2194,-0.2918,1.545
6.464454,-0.8719,-1.0224,-0.6969,1.514
6.481769,-0.7077,-0.8391,-1.0021,1.486
